property_state,avg_dti
MN,119.86
MI,118.75
OR,115.95
GA,115.74
FL,115.58
NV,114.9
AZ,113.68
WA,113.44
MD,111.78
NJ,108.52
NM,107.96
IL,107.35
NC,106.58
ID,105.21
NY,104.64
VA,102.04
CA,101.53
CT,100.14
DE,99.59
HI,98.21
OH,97.47
RI,96.68
WI,96.14
NH,95.95
PA,95.87
MS,94.09
SD,93.3
CO,91.59
MO,91.14
AR,90.54
SC,90.46
AL,90.13
AK,89.16
MT,88.14
UT,87.83
LA,87.5
NE,86.11
PR,85.42
ME,85.01
TN,84.74
IA,84.46
WV,84.43
WY,83.03
DC,82.84
IN,82.01
TX,80.99
KS,80.33
MA,78.77
KY,75.68
VT,74.9
OK,72.77
ND,66.65
VI,51.22
,45.0
GU,39.89
