property_state,total_maintenance_cost
,0.0
VI,-68560.62
GU,-115126.78
ND,-1434832.2000000002
DC,-1483549.04
WY,-2309820.33
SD,-3373474.4599999995
AK,-4025385.33
HI,-4081853.7000000007
MT,-4758086.61
VT,-4800754.430000001
NE,-6474314.16
PR,-7492089.690000002
DE,-9611282.92
ME,-10110546.409999995
WV,-10522244.499999996
RI,-10795447.059999997
MS,-14952398.040000005
ID,-15257390.779999997
UT,-18965900.78000001
IA,-19207759.009999998
KS,-19220269.630000006
NM,-19495406.89
NH,-19865592.15
AR,-20918727.249999993
OK,-24435955.939999998
LA,-25654869.920000013
KY,-32833705.98999999
CO,-35877426.300000004
MA,-39447160.26
AL,-39589811.67
NV,-40541515.050000034
TN,-41469807.839999996
OR,-41981830.53000001
SC,-42745725.10999994
CT,-43630806.08999998
VA,-55531425.34000001
MO,-57267095.57000007
WI,-62404785.840000056
WA,-65103196.960000046
IN,-74969757.2999999
MD,-77308464.76000011
NC,-84214524.6099999
NY,-84825621.79999997
AZ,-87546366.93999995
NJ,-91068456.58000006
PA,-98214290.92000012
MN,-114592933.56000005
TX,-121728490.1100001
GA,-133261258.29999979
OH,-176414789.76000008
CA,-184078170.34000018
MI,-222533168.5899999
IL,-231221229.05999982
FL,-348812078.2000005
