property_state,high_ltv_loans,high_ltv_ratio
,1,100.0
OK,61759,16.89
AR,43770,16.1
KS,65909,15.89
MS,23604,15.52
AL,74292,15.2
SC,103846,15.19
GA,215047,15.16
LA,56367,15.16
TX,411955,14.72
IN,169807,14.46
NV,68672,14.43
OH,262093,14.1
FL,395603,14.06
ND,13498,14.02
MI,253248,13.66
ID,41437,13.27
AZ,177563,13.25
TN,105140,13.25
UT,89009,13.19
MO,138952,13.17
WV,19074,13.14
IL,309613,12.78
MN,168780,12.67
NM,29033,12.59
NC,184297,12.56
AK,12957,12.46
IA,59377,12.42
PA,192876,12.35
NE,33819,12.16
WY,9635,12.11
MD,122709,11.5
CT,55018,11.09
DE,19057,10.99
KY,72241,10.79
SD,11253,10.62
RI,16063,10.38
WI,118882,10.38
WA,140985,10.34
NH,28994,10.32
VA,141026,10.12
OR,83604,10.11
ME,19158,9.53
MT,15561,9.18
GU,732,9.1
NY,149108,9.1
DC,8464,9.04
NJ,117835,8.98
CO,111142,8.79
VT,11027,7.94
MA,90361,7.74
HI,10369,7.55
PR,4248,6.97
CA,363510,6.26
VI,32,1.59
