property_state,property_type,total_loans,pct_within_state
,99,1,100.0
AK,SF,84855,81.57
AK,PU,10407,10.0
AK,CO,8660,8.32
AK,MH,104,0.1
AL,SF,374007,76.54
AL,PU,98651,20.19
AL,CO,13692,2.8
AL,MH,2273,0.47
AL,99,11,0.0
AR,SF,218285,80.27
AR,PU,49935,18.36
AR,CO,2479,0.91
AR,MH,1228,0.45
AZ,PU,640426,47.79
AZ,SF,616638,46.01
AZ,CO,61585,4.6
AZ,MH,21430,1.6
AZ,99,8,0.0
AZ,CP,5,0.0
CA,SF,4384578,75.56
CA,PU,811334,13.98
CA,CO,586450,10.11
CA,MH,20239,0.35
CA,CP,409,0.01
CA,99,18,0.0
CO,SF,695110,54.95
CO,PU,463723,36.66
CO,CO,99962,7.9
CO,MH,6283,0.5
CO,CP,2,0.0
CO,99,11,0.0
CT,SF,429661,86.64
CT,CO,55793,11.25
CT,PU,10114,2.04
CT,CP,275,0.06
CT,MH,43,0.01
CT,99,3,0.0
DC,SF,55754,59.54
DC,CO,33486,35.76
DC,PU,2406,2.57
DC,CP,1995,2.13
DC,MH,6,0.01
DC,99,1,0.0
DE,SF,104088,60.03
DE,PU,53278,30.73
DE,CO,14935,8.61
DE,MH,1091,0.63
DE,99,4,0.0
FL,SF,1433329,50.93
FL,PU,1018854,36.2
FL,CO,344466,12.24
FL,MH,17756,0.63
FL,CP,41,0.0
FL,99,31,0.0
GA,SF,883426,62.28
GA,PU,472785,33.33
GA,CO,55400,3.91
GA,MH,6795,0.48
GA,99,1,0.0
GU,SF,7328,91.08
GU,CO,403,5.01
GU,PU,314,3.9
GU,MH,1,0.01
HI,SF,63729,46.42
HI,CO,47513,34.61
HI,PU,26011,18.95
HI,MH,36,0.03
IA,SF,431844,90.36
IA,PU,30044,6.29
IA,CO,14824,3.1
IA,MH,1222,0.26
IA,CP,1,0.0
ID,SF,203725,65.25
ID,PU,98191,31.45
ID,MH,5441,1.74
ID,CO,4863,1.56
IL,SF,1808867,74.68
IL,CO,335685,13.86
IL,PU,273858,11.31
IL,MH,3141,0.13
IL,CP,366,0.02
IL,99,129,0.01
IN,SF,936106,79.71
IN,PU,206869,17.62
IN,CO,21083,1.8
IN,MH,10270,0.87
IN,CP,1,0.0
IN,99,9,0.0
KS,SF,306431,73.87
KS,PU,103537,24.96
KS,CO,3063,0.74
KS,MH,1780,0.43
KS,99,1,0.0
KY,SF,578169,86.32
KY,PU,66393,9.91
KY,CO,20426,3.05
KY,MH,4830,0.72
KY,99,8,0.0
LA,SF,306426,82.4
LA,PU,54254,14.59
LA,CO,8726,2.35
LA,MH,2445,0.66
LA,99,2,0.0
LA,CP,1,0.0
MA,SF,987996,84.67
MA,CO,173315,14.85
MA,PU,5400,0.46
MA,MH,208,0.02
MA,CP,9,0.0
MA,99,11,0.0
MD,SF,676380,63.37
MD,PU,300029,28.11
MD,CO,89505,8.39
MD,MH,750,0.07
MD,CP,603,0.06
MD,99,4,0.0
ME,SF,186857,92.94
ME,CO,10288,5.12
ME,PU,2835,1.41
ME,MH,1062,0.53
MI,SF,1613562,87.05
MI,CO,170072,9.17
MI,PU,56654,3.06
MI,MH,13403,0.72
MI,99,18,0.0
MI,CP,1,0.0
MN,SF,1150599,86.41
MN,PU,115913,8.7
MN,CO,61073,4.59
MN,MH,4040,0.3
MN,99,5,0.0
MO,SF,740962,70.26
MO,PU,271300,25.72
MO,CO,37998,3.6
MO,MH,4403,0.42
MO,99,1,0.0
MO,CP,2,0.0
MS,SF,124307,81.73
MS,PU,25109,16.51
MS,CO,1797,1.18
MS,MH,885,0.58
MS,CP,1,0.0
MT,SF,141203,83.27
MT,PU,19110,11.27
MT,CO,6337,3.74
MT,MH,2913,1.72
NC,SF,889881,60.65
NC,PU,514239,35.05
NC,CO,46157,3.15
NC,MH,16950,1.16
NC,99,8,0.0
ND,SF,90586,94.06
ND,CO,2886,3.0
ND,PU,2307,2.4
ND,MH,530,0.55
NE,SF,229305,82.43
NE,PU,45709,16.43
NE,CO,2623,0.94
NE,MH,533,0.19
NH,SF,242521,86.33
NH,CO,31780,11.31
NH,PU,6045,2.15
NH,MH,582,0.21
NH,99,2,0.0
NJ,SF,1033850,78.83
NJ,CO,175825,13.41
NJ,PU,99239,7.57
NJ,CP,2440,0.19
NJ,MH,161,0.01
NJ,99,14,0.0
NM,SF,185298,80.34
NM,PU,35749,15.5
NM,CO,5173,2.24
NM,MH,4423,1.92
NV,PU,233634,49.08
NV,SF,209996,44.12
NV,CO,26558,5.58
NV,MH,5799,1.22
NY,SF,1415504,86.38
NY,CO,99894,6.1
NY,CP,81675,4.98
NY,PU,37499,2.29
NY,MH,2683,0.16
NY,99,1480,0.09
OH,SF,1574951,84.75
OH,PU,187875,10.11
OH,CO,89221,4.8
OH,MH,6363,0.34
OH,99,13,0.0
OH,CP,1,0.0
OK,SF,262638,71.82
OK,PU,97337,26.62
OK,CO,3720,1.02
OK,MH,2014,0.55
OK,99,1,0.0
OR,SF,661423,79.97
OR,PU,120057,14.52
OR,CO,28776,3.48
OR,MH,16857,2.04
OR,99,2,0.0
PA,SF,1301613,83.33
PA,PU,195370,12.51
PA,CO,61902,3.96
PA,MH,3033,0.19
PA,CP,9,0.0
PA,99,4,0.0
PR,SF,51952,85.23
PR,CO,8847,14.51
PR,PU,140,0.23
PR,MH,17,0.03
PR,CP,1,0.0
RI,SF,142256,91.93
RI,CO,11607,7.5
RI,PU,835,0.54
RI,MH,41,0.03
RI,99,3,0.0
SC,SF,372687,54.53
SC,PU,259746,38.0
SC,CO,43669,6.39
SC,MH,7349,1.08
SC,CP,1,0.0
SC,99,4,0.0
SD,SF,99728,94.12
SD,PU,4435,4.19
SD,CO,934,0.88
SD,MH,862,0.81
TN,SF,594656,74.91
TN,PU,171204,21.57
TN,CO,22849,2.88
TN,MH,5096,0.64
TN,99,2,0.0
TN,CP,1,0.0
TX,SF,1385444,49.49
TX,PU,1328783,47.47
TX,CO,75553,2.7
TX,MH,9392,0.34
TX,99,18,0.0
TX,CP,2,0.0
UT,SF,519936,77.04
UT,PU,117789,17.45
UT,CO,34314,5.08
UT,MH,2886,0.43
UT,99,3,0.0
VA,SF,848150,60.89
VA,PU,433302,31.11
VA,CO,107571,7.72
VA,MH,3826,0.27
VA,CP,59,0.0
VA,99,8,0.0
VI,SF,1420,70.75
VI,CO,458,22.82
VI,PU,129,6.43
VT,SF,117141,84.38
VT,CO,12674,9.13
VT,PU,8009,5.77
VT,MH,1006,0.72
WA,SF,995929,73.08
WA,PU,251632,18.46
WA,CO,93150,6.83
WA,MH,21751,1.6
WA,CP,391,0.03
WA,99,1,0.0
WI,SF,1058940,92.48
WI,CO,55856,4.88
WI,PU,25681,2.24
WI,MH,4554,0.4
WI,CP,1,0.0
WI,99,13,0.0
WV,SF,118990,82.0
WV,PU,23180,15.97
WV,MH,1849,1.27
WV,CO,1089,0.75
WV,99,4,0.0
WY,SF,70606,88.78
WY,PU,6079,7.64
WY,MH,1778,2.24
WY,CO,1069,1.34
