current_loan_delinquency_status,total_loans
0,45791146
RA,362808
2,330858
1,159090
3,87394
4,44345
5,35136
6,32156
7,30502
8,27575
9,25390
10,22266
11,20714
12,18752
13,17243
14,15600
15,14423
16,13212
17,11868
18,10325
19,9295
20,8394
21,7395
22,6681
23,5885
24,5298
25,4792
26,4334
27,3894
28,3503
29,3256
30,2978
31,2660
32,2654
33,2341
34,2323
35,2162
36,1981
37,1852
38,1753
39,1657
40,1535
41,1479
42,1445
43,1351
44,1289
45,1173
46,1104
47,1023
48,990
49,988
50,866
51,857
52,831
53,792
55,715
54,713
56,649
57,647
60,641
58,597
59,552
62,536
61,532
64,496
63,452
66,428
65,402
67,395
69,374
68,370
70,338
71,309
73,304
74,298
72,293
76,282
75,271
80,241
77,234
78,229
79,200
82,188
83,168
85,165
84,163
81,155
86,146
87,136
88,114
89,113
91,107
90,95
92,93
94,81
95,75
93,73
97,57
96,50
98,46
99,46
100,40
103,37
101,33
108,32
104,31
102,27
109,27
114,24
105,20
113,20
107,19
106,19
111,18
110,18
112,15
119,15
124,14
115,13
118,11
122,11
127,11
128,11
116,11
149,10
131,9
121,9
126,9
147,8
148,8
130,8
117,7
159,7
179,7
135,7
120,7
132,7
142,7
184,6
146,6
139,6
168,6
134,6
136,5
162,5
129,5
152,5
150,5
176,5
158,5
133,5
187,5
143,5
125,5
189,5
144,5
141,4
186,4
164,4
181,4
140,4
123,4
151,4
177,3
169,3
171,3
175,3
138,3
180,3
137,3
157,3
188,3
198,2
183,2
166,2
165,2
174,2
185,2
153,2
156,2
167,2
191,2
190,2
154,2
170,1
163,1
199,1
178,1
182,1
145,1
193,1
173,1
160,1
172,1
196,1
197,1
161,1
155,1
