maturity_year,total_loans
2002,4
2003,10
2004,189
2005,155
2006,275
2007,392
2008,587
2009,13213
2010,8029
2011,32374
2012,60487
2013,156156
2014,228193
2015,144173
2016,679917
2017,1137547
2018,1688749
2019,498558
2020,322573
2021,298485
2022,388327
2023,538478
2024,502432
2025,563755
2026,495801
2027,604779
2028,573856
2029,768998
2030,1047530
2031,1912364
2032,1983495
2033,2162064
2034,1338883
2035,1978471
2036,1816784
2037,1341063
2038,1150869
2039,1809144
2040,1381366
2041,1088297
2042,1251149
2043,1257495
2044,873731
2045,1123087
2046,1290862
2047,1150507
2048,1118036
2049,1420772
2050,2658259
2051,3177352
2052,1492004
2053,882146
2054,773674
2055,1
2056,5
2057,1
2058,2
2059,4
2060,8
2061,11
2062,14
2063,14
2064,2
