merchant_name,total_spend
Smith Ltd,360737.97
Smith Inc,333031.5499999998
Smith Group,313797.09
Johnson and Sons,307785.04999999993
Smith PLC,297876.0399999999
Smith and Sons,292845.4099999999
Williams Ltd,249839.61000000002
Johnson PLC,244043.56000000006
Smith LLC,238706.13999999998
Johnson LLC,231574.18999999994
Johnson Inc,221143.33000000005
Williams PLC,219012.11999999994
Williams LLC,215889.37
Johnson Group,211356.4
Brown Group,208388.82000000007
Jones PLC,206490.65999999995
Brown and Sons,205975.1500000001
Jones Group,205120.51999999993
Jones Ltd,203776.93000000002
Brown Inc,195247.90000000002
Johnson Ltd,192116.68999999992
Miller Group,191069.6
Williams and Sons,184091.57
Brown Ltd,179719.38000000006
Williams Inc,176018.39999999997
Williams Group,173262.78000000003
Davis PLC,172420.1600000001
Brown PLC,163816.20000000007
Jones LLC,162640.09000000003
Miller PLC,160049.66
Jones Inc,159027.71
Jones and Sons,154727.86999999997
Davis Ltd,149575.77000000005
Anderson Inc,149099.35
Miller Ltd,148197.93000000002
Brown LLC,145295.56999999998
Davis Inc,134334.41999999995
Miller LLC,134293.28
Miller and Sons,132384.21000000005
Martinez Inc,130968.87999999996
Rodriguez and Sons,129097.55999999998
Garcia LLC,123651.04999999997
Garcia Inc,119880.98999999999
Rodriguez LLC,118548.01000000001
Hernandez Inc,117471.21
Hernandez PLC,115353.90000000002
Davis Group,115260.34000000004
Anderson and Sons,114691.50999999997
Harris and Sons,114329.49999999999
Garcia PLC,114039.86
Wilson Ltd,113743.31999999998
Davis and Sons,112280.96999999999
Moore PLC,111879.15000000002
Davis LLC,111245.61
Lopez Ltd,110284.20999999998
Wilson Inc,109542.13
Moore Group,107572.41000000003
Moore Ltd,107332.12999999999
Miller Inc,107011.23
White Group,106355.88
Rodriguez Group,105090.32000000004
Garcia Ltd,104349.12000000001
White PLC,103981.38
Wilson PLC,101984.93000000001
Taylor PLC,101813.06999999999
Rodriguez PLC,101641.24000000002
Jackson Group,101551.61
Perez and Sons,101548.30999999998
Lopez PLC,101320.58000000002
Taylor Group,100992.26
Garcia and Sons,100230.84999999999
Wilson LLC,100038.96999999997
Martin Inc,98139.84000000003
Anderson Ltd,98035.98000000003
Wilson and Sons,97801.00999999998
Hernandez and Sons,97244.22000000002
Thompson Ltd,96738.95000000003
Wilson Group,96377.56000000001
Martinez Ltd,96053.05
Martinez Group,95730.72
Gonzalez Inc,95208.23000000001
Martin PLC,95004.93000000002
Taylor Inc,94179.29
Thomas LLC,94170.45
Martinez and Sons,93711.53
Lopez Inc,93024.10999999999
Gonzalez Group,92609.76999999997
Jackson PLC,92430.04
Jackson Inc,92408.85
Anderson PLC,92137.89000000003
Garcia Group,92044.55000000002
Lopez LLC,91551.46000000002
Moore LLC,91065.97000000002
Thomas and Sons,91060.76999999999
Hernandez Ltd,90760.2
Harris Group,90589.25999999998
Hernandez Group,90035.44000000002
White and Sons,89819.51
White LLC,89586.48999999995
Martin Group,89347.90000000001
Martinez LLC,88610.23
Taylor LLC,88519.48000000001
Robinson and Sons,87576.81999999998
Taylor Ltd,87384.6
White Inc,86918.80999999995
Hall Group,86746.42000000003
Jackson and Sons,86290.12999999998
Thomas Inc,85455.45999999998
Thompson Group,83790.1
Anderson LLC,83403.45999999999
Lopez and Sons,83165.27
Thomas Ltd,82425.57
Lee Group,82119.45000000003
Allen PLC,82068.49999999999
Harris Inc,81976.92
Martin LLC,81908.22
Thomas Group,81711.07
Anderson Group,81411.59000000001
Clark Group,80371.62
Nelson Group,80278.64999999998
Martinez PLC,80181.59999999998
Thompson and Sons,78942.50000000003
Lee Inc,78694.29000000001
Hernandez LLC,77427.4
Lewis Inc,77199.44
Thompson PLC,77067.35999999999
Rodriguez Inc,76962.30999999998
White Ltd,76752.07
Lee and Sons,75993.00999999998
Walker Group,75873.04
Harris LLC,75220.52
Jackson LLC,75083.48999999998
Perez Ltd,75056.61
Rodriguez Ltd,74920.20000000003
Martin Ltd,73631.82000000002
Taylor and Sons,73367.68000000001
Gonzalez LLC,73035.83
Harris Ltd,72799.41
Hill and Sons,72630.67000000001
Carter and Sons,72211.66999999998
Lewis Ltd,71990.70999999999
Moore Inc,71550.30000000002
Perez LLC,71033.89000000001
Adams Ltd,70576.64
Gonzalez PLC,70465.54000000002
Sanchez Group,70437.76
Clark LLC,70027.15000000001
Thomas PLC,69959.62000000001
Moore and Sons,69588.72
Hall Inc,69364.72
Clark and Sons,69178.16
Phillips Inc,68997.1
King Inc,68930.94
Hall PLC,67863.05000000002
Ramirez and Sons,67831.99
Lee Ltd,67669.04000000001
Gonzalez Ltd,67101.08000000002
Baker Inc,67074.29
Allen Ltd,67061.51999999999
Green PLC,66921.19
Wright PLC,66431.38
Allen Inc,66425.7
Baker Group,65961.42
Hall LLC,65555.91
Lee LLC,64925.24000000001
Nelson Inc,64872.92
King Group,64670.4
King LLC,64498.23
Young LLC,64453.81000000001
Martin and Sons,64363.27000000001
Sanchez Ltd,64353.39
Walker PLC,64308.00999999998
Carter PLC,64080.87
Peterson and Sons,63561.01
Perez Group,63445.43
Hall Ltd,63362.37000000001
Torres PLC,62628.810000000005
Ramirez PLC,62328.83000000001
Allen Group,61979.27999999999
Roberts PLC,61837.600000000006
Hill Ltd,61645.99
Stewart PLC,61348.44000000001
Mitchell Inc,61307.299999999996
Lopez Group,61230.86
Scott Ltd,61158.33000000001
Sanchez PLC,60762.849999999984
Adams Inc,60088.08
Rogers Group,59929.81000000002
Adams PLC,59722.71
Thompson Inc,59493.48999999999
Robinson Ltd,59485.55000000001
Baker PLC,59298.04999999999
Hill PLC,59294.54
Allen and Sons,59284.090000000004
Edwards Group,59074.55999999998
Robinson PLC,58902.69
Wright Group,58530.64999999999
Baker and Sons,58099.18999999999
Robinson LLC,57807.49999999999
Scott Group,57806.0
Clark Ltd,57655.81
Parker Group,57449.85999999999
Lewis and Sons,56827.560000000005
Gonzalez and Sons,56739.439999999995
