monthly_reporting_period,total_upb
1999-04-01,0
1999-05-01,9520585000
1999-06-01,22398443000
1999-07-01,30567812000
1999-08-01,41373556708
1999-09-01,49812698708
1999-10-01,56527359354
1999-11-01,61710997704
1999-12-01,65387736037
2000-01-01,74708192236
2000-02-01,78171675788
2000-03-01,81627801421
2000-04-01,86153675466
2000-05-01,92338725350
2000-06-01,97179319969
2000-07-01,102905690611
2000-08-01,113477679983
2000-09-01,120517690637
2000-10-01,129549775741
2000-11-01,137977242809
2000-12-01,145071662494
2001-01-01,157048985640
2001-02-01,163745013946
2001-03-01,170733702311
2001-04-01,191671489905
2001-05-01,213304938054
2001-06-01,231329585326
2001-07-01,260304507584
2001-08-01,275853055175
2001-09-01,301012313894
2001-10-01,316532114236
2001-11-01,338564945466
2001-12-01,368574397894
2002-01-01,402213792337
2002-02-01,429291001218
2002-03-01,453269844403
2002-04-01,476151306891
2002-05-01,492541361997
2002-06-01,508439366622
2002-07-01,520428857794
2002-08-01,527206971811
2002-09-01,551413420900
2002-10-01,570128312139
2002-11-01,597803471347
2002-12-01,620948425200
2003-01-01,637278225408
2003-02-01,652726938748
2003-03-01,666347037868
2003-04-01,669141102895
2003-05-01,684764830704
2003-06-01,694311047249
2003-07-01,705380154721
2003-08-01,746042429206
2003-09-01,788338885451
2003-10-01,813623645283
2003-11-01,830699942673
2003-12-01,838414551693
2004-01-01,850437105475
2004-02-01,852567998571
2004-03-01,854684607618
2004-04-01,857163103004
2004-05-01,874339981551
2004-06-01,885317150070
2004-07-01,892078248695
2004-08-01,893861063543
2004-09-01,896807212573
2004-10-01,899121168624
2004-11-01,900800518156
2004-12-01,903336713094
2005-01-01,911613945148
2005-02-01,913662373874
2005-03-01,913238565343
2005-04-01,925121816784
2005-05-01,929822107580
2005-06-01,932937648111
2005-07-01,938408589429
2005-08-01,948593336423
2005-09-01,963751296553
2005-10-01,975340250641
2005-11-01,986569500068
2005-12-01,995999342541
2006-01-01,1007554930496
2006-02-01,1013393426001
2006-03-01,1018080044281
2006-04-01,1025357239088
2006-05-01,1028781820426
2006-06-01,1033628857545
2006-07-01,1042144446476
2006-08-01,1046985840024
2006-09-01,1053555316991
2006-10-01,1056910117873
2006-11-01,1063559627436
2006-12-01,1068872239514
2007-01-01,1080338305613
2007-02-01,1085474878426
2007-03-01,1092854145418
2007-04-01,1101023778457
2007-05-01,1108329169828
2007-06-01,1115997134392
2007-07-01,1123233539022
2007-08-01,1131396419048
2007-09-01,1138460493842
2007-10-01,1146456763748
2007-11-01,1156930982833
2007-12-01,1162481034631
2008-01-01,1171954753753
2008-02-01,1179066850752
2008-03-01,1194364670372
2008-04-01,1208161029849
2008-05-01,1229313641179
2008-06-01,1242896106461
2008-07-01,1252076820700
2008-08-01,1260330286911
2008-09-01,1265784966475
2008-10-01,1267834140652
2008-11-01,1275867353951
2008-12-01,1274459488952
2009-01-01,1271957062828
2009-02-01,1275205951063
2009-03-01,1291849087350
2009-04-01,1310448323116
2009-05-01,1326742936593
2009-06-01,1344488917422
2009-07-01,1364241382478
2009-08-01,1391726515928
2009-09-01,1403082702001
2009-10-01,1408012990929
2009-11-01,1414403439143
2009-12-01,1420113034299
2010-01-01,1430960593365
2010-02-01,1441030333446
2010-03-01,1443746277042
2010-04-01,1447880989128
2010-05-01,1454099766793
2010-06-01,1455484416363
2010-07-01,1455763397416
2010-08-01,1448197908079
2010-09-01,1442071267473
2010-10-01,1436830467921
2010-11-01,1433375761517
2010-12-01,1434196880375
2011-01-01,1443751507913
2011-02-01,1452412087976
2011-03-01,1453213689463
2011-04-01,1454684142377
2011-05-01,1455150658525
2011-06-01,1451046388614
2011-07-01,1449744979657
2011-08-01,1446458521727
2011-09-01,1437019188548
2011-10-01,1429984522010
2011-11-01,1422594458485
2011-12-01,1413902413346
2012-01-01,1415016979722
2012-02-01,1406770968837
2012-03-01,1396194804789
2012-04-01,1388788553924
2012-05-01,1383483357448
2012-06-01,1380879571595
2012-07-01,1373889202505
2012-08-01,1365119418745
2012-09-01,1364196116002
2012-10-01,1364220313307
2012-11-01,1369931822476
2012-12-01,1363509064364
2013-01-01,1366970520161
2013-02-01,1373998558866
2013-03-01,1379193072578
2013-04-01,1382706404585
2013-05-01,1383920538843
2013-06-01,1395338407837
2013-07-01,1402327322406
2013-08-01,1407137301399
2013-09-01,1414006373556
2013-10-01,1414332411344
2013-11-01,1416537735442
2013-12-01,1419454018342
2014-01-01,1425360019457
2014-02-01,1426179389289
2014-03-01,1424098176532
2014-04-01,1425603231267
2014-05-01,1426038865114
2014-06-01,1427296118928
2014-07-01,1429906841034
2014-08-01,1437093459144
2014-09-01,1444716838656
2014-10-01,1449180491055
2014-11-01,1451722200202
2014-12-01,1452490052965
2015-01-01,1456556224145
2015-02-01,1460905725113
2015-03-01,1459425812747
2015-04-01,1467941675291
2015-05-01,1478385748250
2015-06-01,1484729139746
2015-07-01,1496641442993
2015-08-01,1504215689304
2015-09-01,1509120271772
2015-10-01,1513567437483
