property_type,loan_purpose,total_loans,avg_loan_amount,avg_interest_rate,avg_ltv,avg_dti,avg_loss_severity
99,P,1023,115167.16,7.03,71.5,38.95,-0.002
99,N,529,129512.29,6.5,52.05,35.77,-0.003
99,C,305,148419.67,6.64,51.68,41.14,0.0
CO,P,1756581,211522.22,5.15,77.98,44.11,-0.007
CO,N,1114010,208410.05,4.48,72.05,247.83,-0.005
CO,C,457443,188208.89,5.11,63.36,43.05,-0.012
CP,P,53020,207073.43,5.21,74.29,37.4,-0.003
CP,N,22072,226195.18,4.53,56.88,307.49,-0.001
CP,C,13201,191851.91,5.29,53.04,38.44,-0.005
MH,P,116479,138409.03,5.7,81.51,42.44,-0.021
MH,N,92769,113107.12,5.16,72.1,198.05,-0.019
MH,C,45165,101662.86,5.57,59.45,39.23,-0.018
PU,P,4537403,273073.39,4.79,78.2,40.76,-0.002
PU,N,3334945,247510.01,4.09,68.41,173.89,-0.002
PU,C,1621389,244686.16,4.45,64.52,37.44,-0.005
PU,9,1,60000.0,6.62,999.0,10.0,0.0
SF,N,13849571,196281.21,4.7,67.29,191.67,-0.005
SF,P,10619865,219714.15,5.22,79.85,43.16,-0.005
SF,C,9550160,188301.98,5.1,63.62,40.67,-0.01
SF,9,27,62777.78,7.07,999.0,99.11,0.0
