monthly_reporting_period,total_loans
1999-04-01,3
1999-05-01,61
1999-06-01,255
1999-07-01,462
1999-08-01,711
1999-09-01,841
1999-10-01,966
1999-11-01,1273
1999-12-01,1558
2000-01-01,1252
2000-02-01,1663
2000-03-01,2238
2000-04-01,2332
2000-05-01,3324
2000-06-01,3574
2000-07-01,3766
2000-08-01,4486
2000-09-01,4450
2000-10-01,5684
2000-11-01,6218
2000-12-01,7264
2001-01-01,13535
2001-02-01,27600
2001-03-01,37164
2001-04-01,38951
2001-05-01,41305
2001-06-01,34777
2001-07-01,32480
2001-08-01,34669
2001-09-01,33688
2001-10-01,60663
2001-11-01,80478
2001-12-01,91993
2002-01-01,57662
2002-02-01,46461
2002-03-01,49371
2002-04-01,41792
2002-05-01,42937
2002-06-01,42153
2002-07-01,64820
2002-08-01,98052
2002-09-01,122484
2002-10-01,180086
2002-11-01,171939
2002-12-01,173454
2003-01-01,158490
2003-02-01,167978
2003-03-01,201191
2003-04-01,267317
2003-05-01,224973
2003-06-01,265874
2003-07-01,371498
2003-08-01,278963
2003-09-01,168162
2003-10-01,114223
2003-11-01,86572
2003-12-01,87361
2004-01-01,66392
2004-02-01,95856
2004-03-01,142529
2004-04-01,181370
2004-05-01,123489
2004-06-01,100411
2004-07-01,80052
2004-08-01,84118
2004-09-01,81922
2004-10-01,83626
2004-11-01,91702
2004-12-01,95748
2005-01-01,64982
2005-02-01,72037
2005-03-01,104464
2005-04-01,83973
2005-05-01,88170
2005-06-01,106092
2005-07-01,107364
2005-08-01,119441
2005-09-01,94960
2005-10-01,90546
2005-11-01,79395
2005-12-01,70063
2006-01-01,51562
2006-02-01,55965
2006-03-01,71527
2006-04-01,61235
2006-05-01,71663
2006-06-01,70781
2006-07-01,62131
2006-08-01,68957
2006-09-01,57890
2006-10-01,66017
2006-11-01,61390
2006-12-01,64796
2007-01-01,58082
2007-02-01,55136
2007-03-01,67244
2007-04-01,69506
2007-05-01,75043
2007-06-01,70232
2007-07-01,65827
2007-08-01,63051
2007-09-01,48145
2007-10-01,57042
2007-11-01,50483
2007-12-01,57667
2008-01-01,57343
2008-02-01,92469
2008-03-01,96094
2008-04-01,91120
2008-05-01,77741
2008-06-01,67707
2008-07-01,63610
2008-08-01,51427
2008-09-01,50428
2008-10-01,60212
2008-11-01,41222
2008-12-01,59584
2009-01-01,110766
2009-02-01,164540
2009-03-01,173015
2009-04-01,173536
2009-05-01,182697
2009-06-01,184865
2009-07-01,142347
2009-08-01,102555
2009-09-01,93543
2009-10-01,105247
2009-11-01,116388
2009-12-01,130852
2010-01-01,103001
2010-02-01,86054
2010-03-01,113136
2010-04-01,107273
2010-05-01,95396
2010-06-01,118555
2010-07-01,131233
2010-08-01,179609
2010-09-01,201597
2010-10-01,209142
2010-11-01,225526
2010-12-01,209702
2011-01-01,152895
2011-02-01,113215
2011-03-01,108705
2011-04-01,92179
2011-05-01,88768
2011-06-01,104809
2011-07-01,105426
2011-08-01,125508
2011-09-01,155544
2011-10-01,180213
2011-11-01,190162
2011-12-01,174948
2012-01-01,153157
2012-02-01,177004
2012-03-01,191708
2012-04-01,177007
2012-05-01,185143
2012-06-01,178660
2012-07-01,190278
2012-08-01,212992
2012-09-01,195145
2012-10-01,222921
2012-11-01,201005
2012-12-01,208421
2013-01-01,200087
2013-02-01,184379
2013-03-01,191290
2013-04-01,190374
2013-05-01,191796
2013-06-01,170207
2013-07-01,168714
2013-08-01,133727
2013-09-01,100983
2013-10-01,96434
2013-11-01,82412
2013-12-01,86678
2014-01-01,72134
2014-02-01,64556
2014-03-01,78988
2014-04-01,83016
2014-05-01,87421
2014-06-01,92049
2014-07-01,96868
2014-08-01,92139
2014-09-01,89225
2014-10-01,91366
2014-11-01,82875
2014-12-01,96541
2015-01-01,80911
2015-02-01,97121
2015-03-01,130966
2015-04-01,115653
2015-05-01,116722
2015-06-01,121602
2015-07-01,113742
2015-08-01,102000
2015-09-01,101154
2015-10-01,99292
2015-11-01,82962
2015-12-01,98001
2016-01-01,75842
2016-02-01,83784
2016-03-01,111434
2016-04-01,110722
2016-05-01,120289
2016-06-01,128756
2016-07-01,117571
2016-08-01,153174
2016-09-01,140826
2016-10-01,137530
2016-11-01,133657
2016-12-01,130950
2017-01-01,94099
2017-02-01,77600
2017-03-01,94804
2017-04-01,86125
2017-05-01,106652
2017-06-01,108518
2017-07-01,101352
2017-08-01,115276
2017-09-01,99024
2017-10-01,113321
2017-11-01,102418
2017-12-01,103559
2018-01-01,87176
2018-02-01,78846
2018-03-01,102613
2018-04-01,92481
2018-05-01,103290
2018-06-01,110132
2018-07-01,102874
2018-08-01,109980
2018-09-01,79310
2018-10-01,85002
2018-11-01,82093
2018-12-01,71444
2019-01-01,61469
2019-02-01,63444
2019-03-01,87477
2019-04-01,96037
2019-05-01,121347
2019-06-01,103985
2019-07-01,130830
2019-08-01,143165
2019-09-01,147676
2019-10-01,162400
2019-11-01,146312
2019-12-01,136142
2020-01-01,118565
2020-02-01,124944
2020-03-01,185048
2020-04-01,227466
2020-05-01,231316
2020-06-01,268269
2020-07-01,283438
2020-08-01,272789
2020-09-01,301806
2020-10-01,311892
2020-11-01,293122
2020-12-01,311543
2021-01-01,263177
2021-02-01,276428
2021-03-01,338538
2021-04-01,271053
2021-05-01,227760
2021-06-01,246282
2021-07-01,218501
2021-08-01,242307
2021-09-01,239252
2021-10-01,224759
2021-11-01,205714
2021-12-01,195962
2022-01-01,149317
2022-02-01,134246
2022-03-01,152819
2022-04-01,129889
2022-05-01,114635
2022-06-01,109006
2022-07-01,91806
2022-08-01,95087
2022-09-01,82830
2022-10-01,71612
2022-11-01,60128
2022-12-01,59378
2023-01-01,50323
2023-02-01,51377
2023-03-01,70113
2023-04-01,63018
2023-05-01,75788
2023-06-01,78233
2023-07-01,69467
2023-08-01,76457
2023-09-01,62166
2023-10-01,63512
2023-11-01,54986
2023-12-01,54108
2024-01-01,52170
2024-02-01,53368
2024-03-01,67391
2024-04-01,70217
2024-05-01,77117
2024-06-01,71575
2024-07-01,77821
2024-08-01,76802
2024-09-01,75460
2024-10-01,91390
2024-11-01,72916
2024-12-01,13233390
