monthly_reporting_period,avg_interest_rate
1999-04-01,7.375
1999-05-01,6.928565486052469
1999-06-01,6.955494688158815
1999-07-01,7.006499927648285
1999-08-01,7.129332643907085
1999-09-01,7.223750963147527
1999-10-01,7.2968493638781
1999-11-01,7.346158287274374
1999-12-01,7.3787578721850595
2000-01-01,7.434209906597482
2000-02-01,7.46407598644926
2000-03-01,7.498045497492613
2000-04-01,7.541169133107715
2000-05-01,7.581722249885329
2000-06-01,7.621727021920717
2000-07-01,7.66973164151807
2000-08-01,7.728490205286111
2000-09-01,7.751682625963969
2000-10-01,7.77719931152109
2000-11-01,7.791053180437695
2000-12-01,7.793679520662032
2001-01-01,7.789850373716913
2001-02-01,7.756844356380513
2001-03-01,7.699989994380933
2001-04-01,7.605875502651898
2001-05-01,7.519578932052102
2001-06-01,7.454545373240307
2001-07-01,7.401810957636499
2001-08-01,7.369704305980922
2001-09-01,7.333039642339824
2001-10-01,7.29515261426892
2001-11-01,7.226534053734102
2001-12-01,7.132517412377154
2002-01-01,7.056013949400563
2002-02-01,7.012315273217858
2002-03-01,6.98296925700646
2002-04-01,6.959193279483142
2002-05-01,6.94829870535168
2002-06-01,6.937016904461345
2002-07-01,6.9240379222459225
2002-08-01,6.902164706177589
2002-09-01,6.857250848466429
2002-10-01,6.793624582141954
2002-11-01,6.7156059095053955
2002-12-01,6.643239355384506
2003-01-01,6.584881426451073
2003-02-01,6.530204251909778
2003-03-01,6.46998046802614
2003-04-01,6.407793662610328
2003-05-01,6.332879921421659
2003-06-01,6.260867270032465
2003-07-01,6.168023547153096
2003-08-01,6.054841799270082
2003-09-01,5.975305049732887
2003-10-01,5.938000077844031
2003-11-01,5.917466050281664
2003-12-01,5.904519891491944
2004-01-01,5.890430521782676
2004-02-01,5.879270214378202
2004-03-01,5.862553400272061
2004-04-01,5.838079416756265
2004-05-01,5.809967011469091
2004-06-01,5.795777051216505
2004-07-01,5.79139121475396
2004-08-01,5.789880512349414
2004-09-01,5.787242686640936
2004-10-01,5.783003793676408
2004-11-01,5.777068519303707
2004-12-01,5.770077726307333
2005-01-01,5.76243954808421
2005-02-01,5.758382799780504
2005-03-01,5.75321730163167
2005-04-01,5.746686270442944
2005-05-01,5.744477811309363
2005-06-01,5.742764735531175
2005-07-01,5.7382715646783815
2005-08-01,5.73208851922905
2005-09-01,5.727548210638496
2005-10-01,5.725792442064682
2005-11-01,5.725221653354722
2005-12-01,5.728155821615794
2006-01-01,5.733093609481771
2006-02-01,5.7370840852728096
2006-03-01,5.74097691038901
2006-04-01,5.745866230687457
2006-05-01,5.751611824098408
2006-06-01,5.759333120965026
2006-07-01,5.769279303539889
2006-08-01,5.77939672222491
2006-09-01,5.78927913399781
2006-10-01,5.795785094828885
2006-11-01,5.801667007894986
2006-12-01,5.80692501847194
2007-01-01,5.811391325691861
2007-02-01,5.814154266261031
2007-03-01,5.818891724101742
2007-04-01,5.823216325331344
2007-05-01,5.827052539478173
2007-06-01,5.831666466161208
2007-07-01,5.838186153014366
2007-08-01,5.847898125515238
2007-09-01,5.856509680157491
2007-10-01,5.864418172082293
2007-11-01,5.871568753147387
2007-12-01,5.876374979259975
2008-01-01,5.879986208488796
2008-02-01,5.880800033943432
2008-03-01,5.876062238317017
2008-04-01,5.874899946178294
2008-05-01,5.8739047638854665
2008-06-01,5.874196746972786
2008-07-01,5.876619247203153
2008-08-01,5.881324966166578
2008-09-01,5.885541304217841
2008-10-01,5.888329257414986
2008-11-01,5.889511523088249
2008-12-01,5.8904592061996865
2009-01-01,5.8864712691727625
2009-02-01,5.86956572836896
2009-03-01,5.8431443884681205
2009-04-01,5.816729121366237
2009-05-01,5.789980737440849
2009-06-01,5.761361842213495
2009-07-01,5.737152829750872
2009-08-01,5.718269211054913
2009-09-01,5.707604218786423
2009-10-01,5.698223906752816
2009-11-01,5.686158058904765
2009-12-01,5.67211122752433
2010-01-01,5.656973233670661
2010-02-01,5.6439314786757135
2010-03-01,5.63191452632647
