current_loan_delinquency_status,avg_current_upb,avg_original_upb
0,63486.36,214184.37
1,174752.04,229747.32
10,23108.99,186878.38
100,6615.02,200925.0
101,15665.55,228090.91
102,10098.41,218074.07
103,17885.54,251918.92
104,17332.03,243322.58
105,29121.9,251850.0
106,21103.58,253631.58
107,8962.0,212052.63
108,25753.47,246843.75
109,27098.22,249185.19
11,23206.68,188142.9
110,57023.22,243888.89
111,57285.94,274111.11
112,0.0,223600.0
113,31446.45,249150.0
114,24039.75,228916.67
115,18297.46,241307.69
116,65639.09,204909.09
117,26589.57,307285.71
118,0.0,203272.73
119,14229.4,180466.67
12,21129.8,186230.27
120,42720.14,279000.0
121,32670.22,172888.89
122,6002.18,246272.73
123,0.0,158250.0
124,10833.64,205928.57
125,22198.8,196200.0
126,57188.33,171777.78
127,13550.09,255090.91
128,43634.45,238818.18
129,0.0,300400.0
13,20897.4,187050.05
130,51600.12,245125.0
131,27317.11,285000.0
132,0.0,224142.86
133,59739.2,184200.0
134,90879.33,314666.67
135,21302.43,199000.0
136,99642.4,222000.0
137,143498.67,333333.33
138,0.0,291333.33
139,11779.33,236333.33
14,19830.66,186086.22
140,129955.25,244250.0
141,106966.25,199250.0
142,9382.57,226428.57
143,62022.0,347000.0
144,229275.0,297800.0
145,61911.0,69000.0
146,0.0,196166.67
147,84988.38,279625.0
148,127344.75,189000.0
149,17581.8,249200.0
15,15768.06,184503.5
150,68410.8,345600.0
151,27202.0,179250.0
152,69704.0,228000.0
153,223568.5,247000.0
154,75475.0,131500.0
155,0.0,417000.0
156,217433.0,374000.0
157,0.0,268666.67
158,55577.0,347800.0
159,179157.14,243571.43
16,15439.77,187605.36
160,0.0,334000.0
161,0.0,211000.0
162,236366.6,440800.0
163,0.0,360000.0
164,186857.0,203250.0
165,70373.0,182000.0
166,157802.5,346500.0
167,0.0,512000.0
168,159799.67,328000.0
169,232430.0,350333.33
17,13235.93,188138.1
170,0.0,400000.0
171,95726.33,320333.33
172,0.0,370000.0
173,0.0,250000.0
174,0.0,358000.0
175,204243.0,286333.33
176,131515.0,183200.0
177,230485.0,355333.33
178,0.0,407000.0
179,197117.71,268142.86
18,11852.01,188275.84
180,132934.67,221000.0
181,185405.5,289000.0
182,395605.0,425000.0
183,309600.5,322000.0
184,263138.17,297833.33
185,471770.5,476000.0
186,99179.5,223000.0
187,185282.6,301000.0
188,240297.67,348333.33
189,215920.2,323400.0
19,11865.88,187552.12
190,353914.5,360500.0
191,438494.5,463000.0
193,108385.0,111000.0
196,152608.0,160000.0
197,470083.0,473000.0
198,0.0,325000.0
199,296749.0,306000.0
2,23511.46,160373.26
20,9845.34,188472.96
21,9550.81,186675.05
22,9447.92,189148.93
23,9610.97,189935.77
24,9369.86,189265.76
25,9416.96,187997.5
26,7945.79,187063.22
27,10151.75,190618.64
28,6375.37,185564.66
29,6174.74,186028.26
3,44753.15,167674.77
30,7806.56,187903.96
31,6481.6,187206.77
32,4807.46,185790.88
33,6112.05,186664.67
34,4854.72,189333.62
35,4040.9,183927.38
36,4198.28,187339.22
37,5585.67,184273.76
38,4639.32,193091.27
39,6663.57,191946.29
4,53692.23,180049.79
40,4287.69,192540.07
41,5482.88,195710.62
42,6372.05,190538.41
43,5443.79,192007.4
44,4117.05,193231.19
45,4640.24,196974.42
46,6271.93,199614.13
47,5982.82,197502.44
48,10161.8,200255.56
49,7526.09,199088.06
5,54833.46,185873.55
50,8311.73,200519.63
51,8268.29,199032.67
52,8126.9,189685.92
53,9154.09,203842.17
54,12540.7,206548.39
55,10413.15,207486.71
56,13775.44,204157.16
57,21055.3,214256.57
58,20555.38,211551.09
59,12943.57,218788.04
6,41401.28,182071.78
60,11028.4,216500.78
61,9223.65,204488.72
62,9532.93,219583.96
63,9344.83,211420.35
64,10890.29,219006.05
65,7159.64,206977.61
66,10605.39,217978.97
67,10102.61,218096.2
68,8668.47,216224.32
69,9611.07,220743.32
7,34562.85,181590.88
70,4084.99,216215.98
71,4320.92,208576.05
72,10388.07,215563.14
73,10188.48,219118.42
74,4155.26,211486.58
75,11122.99,228387.45
76,7707.51,220485.82
77,8647.81,215658.12
78,7437.33,237358.08
79,12404.3,236355.0
8,29550.38,183071.8
80,10836.0,227207.47
81,8822.41,229329.03
82,6071.85,235510.64
83,5243.68,229148.81
84,12427.47,238588.96
85,10117.47,237484.85
86,8008.18,233041.1
87,7596.21,244661.76
88,3007.69,218754.39
89,5213.72,231168.14
9,25903.79,186183.22
90,10777.71,224947.37
91,9152.06,210158.88
92,2208.6,242215.05
93,21708.58,242356.16
94,25816.96,234814.81
95,3355.8,257960.0
96,9686.72,238260.0
97,8163.98,231736.84
98,877.43,223869.57
99,25401.37,261260.87
RA,879.79,149171.92
