vintage_year,loss_rate
1999,0.0
2000,-3.991431780985589e-05
2001,-4.6424530025627976e-05
2002,-0.00010835419883486388
2003,-0.00015132857751961752
2004,-0.0006784642417276944
2005,-0.0012203189828509393
2006,-0.002021165054143137
2007,-0.002589531011635955
2008,-0.005476683398720882
2009,-0.007392907257253516
2010,-0.015387967451689757
2011,-0.025329103043972942
2012,-0.016794443797029632
2013,-0.016323187262068717
2014,-0.029367609658485967
2015,-0.017864042670737386
2016,-0.011817294792267823
2017,-0.007008671318658898
2018,-0.0061486991660965355
2019,-0.0024435030600781543
2020,-0.0006811546135064735
2021,-0.000334329080988796
2022,-0.0003495841628660926
2023,-0.0019402223582483283
2024,-0.0007345659660149667
