merchant_name,txn_count
Smith Ltd,141
Smith Inc,133
Smith Group,128
Smith and Sons,126
Johnson and Sons,125
Smith PLC,114
Johnson PLC,108
Smith LLC,99
Williams LLC,97
Johnson Inc,93
Williams Ltd,92
Johnson LLC,91
Brown Inc,86
Johnson Ltd,83
Johnson Group,83
Brown and Sons,81
Jones PLC,81
Williams PLC,80
Jones Ltd,79
Brown Group,77
Williams Group,74
Brown Ltd,74
Williams and Sons,73
Jones Group,73
Jones LLC,71
Brown PLC,69
Miller Group,67
Williams Inc,66
Brown LLC,63
Miller PLC,63
Jones Inc,62
Davis PLC,61
Miller and Sons,59
Jones and Sons,56
Anderson Inc,56
Davis Ltd,54
Garcia Ltd,53
Miller Ltd,52
Miller LLC,51
Davis Inc,51
Garcia PLC,51
Miller Inc,50
Martinez Inc,50
Davis Group,49
Davis LLC,49
Garcia Inc,48
Anderson and Sons,47
Davis and Sons,47
Rodriguez LLC,47
Moore PLC,47
Martinez and Sons,46
Rodriguez and Sons,45
Wilson Ltd,45
Martinez LLC,44
Wilson PLC,44
Hernandez PLC,44
Wilson Inc,44
Wilson LLC,44
Harris and Sons,43
Garcia LLC,42
Hernandez Inc,42
Rodriguez PLC,42
Moore Ltd,42
Lopez PLC,41
White Group,41
Martinez Ltd,41
Anderson Ltd,41
Moore LLC,41
Taylor Group,40
Hernandez and Sons,39
Anderson Group,39
White PLC,39
Hernandez Group,39
Wilson and Sons,38
Lopez LLC,38
Harris Group,38
Lopez Ltd,38
Martin PLC,38
Gonzalez Inc,38
Moore Inc,38
Martinez Group,38
Garcia and Sons,38
Jackson Group,38
Martin Group,37
Perez and Sons,37
Wilson Group,37
Taylor Ltd,37
Moore Group,37
Rodriguez Ltd,37
Garcia Group,37
White LLC,36
Anderson LLC,36
Rodriguez Inc,36
Thompson Ltd,36
Taylor LLC,36
Jackson PLC,35
Anderson PLC,35
Hernandez LLC,35
White Inc,35
Lopez and Sons,35
White and Sons,35
Harris Inc,35
Hernandez Ltd,35
Thomas LLC,35
Thomas Inc,35
Thomas and Sons,34
Harris Ltd,34
Jackson Inc,34
Martin LLC,34
Rodriguez Group,33
Nelson Group,33
Jackson and Sons,33
Taylor Inc,33
Thompson and Sons,32
Hill and Sons,32
Thomas Group,32
Taylor PLC,32
Hall Group,32
Perez Ltd,32
Gonzalez Group,32
White Ltd,31
Thompson Group,31
Lee Group,31
Martin and Sons,31
Lopez Inc,31
Allen PLC,31
Martin Inc,31
Clark LLC,31
Lee LLC,31
Sanchez Ltd,30
Gonzalez LLC,30
Thomas Ltd,30
Harris LLC,30
Thompson PLC,30
Martinez PLC,30
Robinson and Sons,29
Gonzalez and Sons,29
Gonzalez PLC,29
Moore and Sons,29
Taylor and Sons,29
Jackson LLC,29
Allen Group,29
Gonzalez Ltd,28
Lewis Ltd,28
Rogers Group,28
Clark and Sons,28
Lee and Sons,28
Lee Ltd,28
Thompson LLC,27
Lopez Group,27
Thomas PLC,27
Mitchell Inc,27
Sanchez PLC,27
Allen Ltd,27
Martin Ltd,27
Adams Ltd,27
Hall Inc,27
Hall PLC,27
Lee Inc,27
Sanchez Group,26
Ramirez PLC,26
Baker Group,26
Allen and Sons,26
Lewis Inc,26
Clark Group,26
Carter PLC,26
King Group,26
Young Group,26
Jackson Ltd,26
Hall LLC,26
Hill PLC,26
King Inc,26
Scott Group,25
Wright Group,25
Phillips Inc,25
Walker PLC,25
Nelson PLC,25
Clark Ltd,25
Green PLC,25
Ramirez and Sons,25
Lee PLC,25
Peterson and Sons,24
Allen Inc,24
Wright PLC,24
Torres PLC,24
Harris PLC,24
Scott Ltd,24
Robinson LLC,24
Perez LLC,24
Robinson Inc,24
