maturity_year,total_balance
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,263407
2009,135492
2010,809405
2011,46236
2012,80461
2013,255346
2014,1690747
2015,1807915
2016,6589585
2017,9938002
2018,40597543
2019,22422265
2020,27108578
2021,19078168
2022,27146986
2023,56428771
2024,48493618
2025,298693627
2026,1013972334
2027,3652336595
2028,5968833078
2029,3479281981
2030,8968252729
2031,16728651344
2032,13499788526
2033,11065677832
2034,13573668263
2035,78915780141
2036,112538359585
2037,36458105596
2038,12849994980
2039,22606766175
2040,42435355571
2041,58085383827
2042,48291165817
2043,46251572307
2044,24050221771
2045,47582875989
2046,72991202626
2047,53296849246
2048,41091522115
2049,86738130660
2050,464356400547
2051,756396599361
2052,390292963256
2053,239369064347
2054,245745615980
2055,47280
2056,242039
2057,0
2058,356356
2059,655112
2060,1684651
2061,2211777
2062,3541880
2063,3112284
2064,560399
