vintage_year,avg_loan_age,avg_upb
1999,2.7017528780687283,113245.67605984678
2000,8.244900991624183,114480.24431081378
2001,10.555698296003749,119903.91757059403
2002,11.588027152066097,125160.59667374103
2003,12.202883192982776,123757.95318890548
2004,16.34728544385787,126870.60287117242
2005,23.241954401657512,128516.67763667321
2006,29.744936011580883,132383.45478343015
2007,36.44498709334057,135046.67858689997
2008,42.07396764381186,139119.8381604627
2009,45.60241196856289,144088.40899578345
2010,47.70222556000878,148572.93723356933
2011,49.47015212519547,149993.50294190232
2012,50.965699557414574,148728.69432500418
2013,47.99475409616861,152208.7753138664
2014,49.43305161385948,155590.0296996519
2015,51.4530216111516,157936.03896551128
2016,52.84787751834798,161253.568917488
2017,53.538580839304295,167071.0786225707
2018,55.04236561024455,172128.02821285155
2019,57.38309527398509,175692.2266325655
2020,55.753723113731766,182474.1968775407
2021,46.64860565213638,204431.4310908828
2022,45.251432426924225,219158.66213560908
2023,51.53296513714192,222251.17006214062
2024,58.47844419362904,223534.13480096546
