current_loan_delinquency_status,avg_loss_severity
0,-0.0
1,-0.001
10,-0.17
100,-0.641
101,-0.804
102,-0.561
103,-0.641
104,-0.556
105,-0.757
106,-0.611
107,-0.663
108,-0.714
109,-0.853
11,-0.179
110,-0.648
111,-0.604
112,-0.7
113,-0.608
114,-0.643
115,-0.754
116,-0.452
117,-0.681
118,-0.387
119,-0.397
12,-0.19
120,-0.419
121,-0.663
122,-0.464
123,-0.984
124,-0.723
125,-0.486
126,-0.577
127,-0.646
128,-0.917
129,-0.671
13,-0.199
130,-0.579
131,-0.887
132,-0.914
133,-0.187
134,-0.606
135,-0.582
136,-1.449
137,-0.579
138,-0.763
139,-0.559
14,-0.203
140,-0.259
141,-0.455
142,-0.387
143,-0.274
144,-0.057
145,0.0
146,-0.669
147,-0.478
148,-0.234
149,-0.788
15,-0.22
150,-0.592
151,-0.287
152,-1.068
153,0.0
154,-0.85
155,-0.063
156,-0.474
157,-0.892
158,-0.747
159,-0.259
16,-0.228
160,-0.69
161,-2.625
162,-0.644
163,-1.041
164,0.0
165,0.0
166,-1.269
167,-0.828
168,-0.703
169,-0.24
17,-0.248
170,-1.452
171,0.0
172,-1.218
173,-0.466
174,-1.318
175,-0.129
176,0.0
177,0.0
178,-1.184
179,-0.134
18,-0.258
180,-0.047
181,-0.147
182,0.0
183,0.0
184,0.0
185,0.0
186,-0.977
187,-0.316
188,0.0
189,0.0
19,-0.262
190,0.0
191,0.0
193,0.0
196,0.0
197,0.0
198,0.0
199,0.0
2,-0.001
20,-0.28
21,-0.28
22,-0.287
23,-0.303
24,-0.309
25,-0.333
26,-0.329
27,-0.34
28,-0.354
29,-0.349
3,-0.01
30,-0.343
31,-0.357
32,-0.366
33,-0.369
34,-0.381
35,-0.38
36,-0.387
37,-0.385
38,-0.41
39,-0.41
4,-0.032
40,-0.407
41,-0.43
42,-0.428
43,-0.423
44,-0.44
45,-0.462
46,-0.443
47,-0.463
48,-0.464
49,-0.477
5,-0.057
50,-0.455
51,-0.478
52,-0.483
53,-0.527
54,-0.527
55,-0.52
56,-0.513
57,-0.519
58,-0.536
59,-0.56
6,-0.086
60,-0.567
61,-0.592
62,-0.61
63,-0.604
64,-0.565
65,-0.673
66,-0.609
67,-0.624
68,-0.658
69,-0.687
7,-0.119
70,-0.69
71,-0.685
72,-0.669
73,-0.688
74,-0.7
75,-0.702
76,-0.717
77,-0.786
78,-0.806
79,-0.774
8,-0.14
80,-0.739
81,-0.854
82,-0.804
83,-0.782
84,-0.798
85,-0.78
86,-0.817
87,-0.854
88,-0.847
89,-0.84
9,-0.156
90,-0.735
91,-0.869
92,-0.823
93,-0.857
94,-0.778
95,-0.952
96,-0.715
97,-0.788
98,-0.77
99,-0.616
RA,-0.458
