property_state,avg_original_upb
HI,349569.1424658931
DC,344977.8105245173
VI,339746.38764324866
CA,301236.44466302765
MA,265892.60878246423
WA,259330.91438994932
NJ,252549.14759795627
CO,250141.6815074963
MD,246992.85467327418
VA,245691.6066726206
UT,238346.00135125525
NY,236161.6954541155
OR,226528.48757427928
CT,223560.375406593
AK,217976.2847749601
NV,216429.4171899653
DE,214027.32473644143
RI,209962.401933541
AZ,209889.3441644305
TX,208654.74644111586
NH,208062.59210479478
FL,198508.05460481645
GA,197291.30566896524
ID,195375.04003587214
GU,194652.49813571962
NC,194518.61971667796
TN,193139.97213431963
MT,192744.93845945166
IL,190593.70383551758
MN,188202.16726868573
SC,186698.96672207135
ME,186413.63993593378
WY,184041.7819242569
PA,183534.1625206235
LA,181695.45574338315
NM,178680.81407196404
VT,175410.6389108982
AL,175171.89962221214
ND,166843.32720721842
WI,164116.50022488198
MS,163657.95961840643
MO,161659.06931673156
AR,161639.73787082563
SD,160749.0538793307
KS,159722.13677521382
OK,157886.14749391595
MI,157225.44626721548
OH,152160.02537634037
NE,152083.48132437
KY,150211.74902138763
IN,145909.5354148465
IA,145784.94565160535
WV,144599.0062848007
PR,101655.49485703037
,42000.0
