monthly_reporting_period,default_rate_percent
1999-04-01,0.0
1999-05-01,0.0
1999-06-01,0.0
1999-07-01,0.0
1999-08-01,0.0
1999-09-01,0.0
1999-10-01,0.0
1999-11-01,0.0
1999-12-01,0.0
2000-01-01,0.08
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.09
2000-05-01,0.06
2000-06-01,0.17
2000-07-01,0.11
2000-08-01,0.11
2000-09-01,0.29
2000-10-01,0.28
2000-11-01,0.29
2000-12-01,0.25
2001-01-01,0.17
2001-02-01,0.08
2001-03-01,0.12
2001-04-01,0.13
2001-05-01,0.12
2001-06-01,0.13
2001-07-01,0.14
2001-08-01,0.22
2001-09-01,0.19
2001-10-01,0.14
2001-11-01,0.09
2001-12-01,0.11
2002-01-01,0.17
2002-02-01,0.24
2002-03-01,0.33
2002-04-01,0.37
2002-05-01,0.41
2002-06-01,0.43
2002-07-01,0.29
2002-08-01,0.2
2002-09-01,0.2
2002-10-01,0.16
2002-11-01,0.17
2002-12-01,0.19
2003-01-01,0.19
2003-02-01,0.19
2003-03-01,0.18
2003-04-01,0.16
2003-05-01,0.21
2003-06-01,0.16
2003-07-01,0.13
2003-08-01,0.17
2003-09-01,0.32
2003-10-01,0.53
2003-11-01,0.64
2003-12-01,0.74
2004-01-01,0.88
2004-02-01,0.59
2004-03-01,0.56
2004-04-01,0.39
2004-05-01,0.59
2004-06-01,0.72
2004-07-01,0.91
2004-08-01,0.79
2004-09-01,0.85
2004-10-01,0.85
2004-11-01,0.73
2004-12-01,0.77
2005-01-01,0.92
2005-02-01,0.96
2005-03-01,0.87
2005-04-01,0.94
2005-05-01,0.91
2005-06-01,0.81
2005-07-01,0.7
2005-08-01,0.65
2005-09-01,0.82
2005-10-01,0.77
2005-11-01,0.86
2005-12-01,0.91
2006-01-01,1.07
2006-02-01,1.17
2006-03-01,1.17
2006-04-01,1.11
2006-05-01,1.12
2006-06-01,1.12
2006-07-01,1.1
2006-08-01,1.13
2006-09-01,1.41
2006-10-01,1.03
2006-11-01,1.15
2006-12-01,1.02
2007-01-01,0.97
2007-02-01,1.26
2007-03-01,1.32
2007-04-01,1.17
2007-05-01,1.2
2007-06-01,1.11
2007-07-01,1.09
2007-08-01,1.31
2007-09-01,1.6
2007-10-01,1.46
2007-11-01,1.6
2007-12-01,1.64
2008-01-01,1.62
2008-02-01,1.02
2008-03-01,1.1
2008-04-01,1.27
2008-05-01,1.75
2008-06-01,1.98
2008-07-01,2.09
2008-08-01,2.76
2008-09-01,2.74
2008-10-01,2.67
2008-11-01,3.14
2008-12-01,3.24
2009-01-01,1.48
2009-02-01,1.13
2009-03-01,1.31
2009-04-01,1.29
2009-05-01,1.32
2009-06-01,1.5
2009-07-01,2.04
2009-08-01,2.7
2009-09-01,3.29
2009-10-01,3.45
2009-11-01,2.84
2009-12-01,2.97
2010-01-01,3.14
2010-02-01,4.27
2010-03-01,4.67
2010-04-01,4.61
2010-05-01,5.05
2010-06-01,4.61
2010-07-01,3.55
2010-08-01,2.87
2010-09-01,2.88
2010-10-01,2.44
2010-11-01,2.27
2010-12-01,3.04
2011-01-01,3.79
2011-02-01,5.17
2011-03-01,6.67
2011-04-01,6.83
2011-05-01,6.79
2011-06-01,5.88
2011-07-01,5.38
2011-08-01,4.81
2011-09-01,3.67
2011-10-01,2.99
