property_state,origination_year,avg_interest_rate,default_rate_percent,avg_loss_severity,avg_cost_ratio
,2006,0.0,0.0,0.0,0.0
AK,1999,7.51,0.4,0.003,-0.0006
AK,2000,8.18,1.03,0.0,0.0008
AK,2001,7.0,0.31,-0.001,-0.0002
AK,2002,6.37,0.2,-0.0,-0.0002
AK,2003,5.49,0.22,-0.001,-0.0003
AK,2004,5.62,0.66,-0.001,-0.0007
AK,2005,5.71,1.03,-0.002,-0.0009
AK,2006,6.4,2.08,-0.005,-0.0022
AK,2007,6.28,2.96,-0.008,-0.0025
AK,2008,5.97,1.84,-0.006,-0.0017
AK,2009,4.93,0.42,-0.001,-0.0004
AK,2010,4.66,0.31,-0.001,-0.0005
AK,2011,4.29,0.32,-0.001,-0.0005
AK,2012,3.66,0.32,-0.002,-0.0006
AK,2013,3.57,0.15,-0.001,-0.0003
AK,2014,4.26,0.47,-0.003,-0.0022
AK,2015,3.93,0.36,-0.001,-0.0002
AK,2016,3.76,0.39,-0.001,-0.0004
AK,2017,4.03,0.11,-0.0,-0.0003
AK,2018,4.56,0.14,-0.001,-0.0002
AK,2019,4.21,0.03,-0.001,-0.0003
AK,2020,3.19,0.02,-0.0,-0.0
AK,2021,2.89,0.0,-0.0,-0.0
AK,2022,4.08,0.0,-0.0,-0.0
AK,2023,6.69,0.0,0.0,0.0
AK,2024,6.93,0.0,0.0,0.0
AL,1999,7.33,1.83,-0.004,-0.0014
AL,2000,8.13,2.24,-0.007,-0.0022
AL,2001,6.88,2.4,-0.008,-0.0023
AL,2002,6.36,2.21,-0.009,-0.0022
AL,2003,5.36,1.28,-0.005,-0.0016
AL,2004,5.59,2.25,-0.009,-0.0027
AL,2005,5.64,3.3,-0.014,-0.004
AL,2006,6.35,5.05,-0.022,-0.0051
AL,2007,6.32,6.75,-0.031,-0.0069
AL,2008,6.08,5.19,-0.027,-0.0054
AL,2009,4.99,1.5,-0.007,-0.0016
AL,2010,4.75,1.08,-0.005,-0.0014
AL,2011,4.42,0.83,-0.004,-0.0012
AL,2012,3.82,0.58,-0.003,-0.0009
AL,2013,3.74,0.53,-0.003,-0.001
AL,2014,4.35,0.5,-0.002,-0.0008
AL,2015,3.99,0.32,-0.001,-0.0007
AL,2016,3.83,0.18,-0.001,-0.0008
AL,2017,4.1,0.15,-0.001,-0.0002
AL,2018,4.61,0.12,-0.0,-0.0003
AL,2019,4.35,0.05,-0.0,-0.0001
AL,2020,3.27,0.03,-0.0,-0.0001
AL,2021,2.94,0.01,0.0,-0.0
AL,2022,4.26,0.03,-0.0,-0.0
AL,2023,6.63,0.0,-0.0,-0.0
AL,2024,6.83,0.0,0.0,0.0
AR,1999,7.27,0.93,-0.003,-0.001
AR,2000,8.05,1.49,-0.004,-0.0016
AR,2001,6.9,1.23,-0.004,-0.0015
AR,2002,6.35,1.3,-0.004,-0.0016
AR,2003,5.4,1.03,-0.003,-0.0016
AR,2004,5.59,1.85,-0.007,-0.0034
AR,2005,5.65,3.21,-0.013,-0.0049
AR,2006,6.33,4.67,-0.019,-0.006
AR,2007,6.3,6.17,-0.025,-0.0076
AR,2008,6.06,3.81,-0.018,-0.0051
AR,2009,5.0,1.12,-0.006,-0.0021
AR,2010,4.72,0.76,-0.003,-0.0013
AR,2011,4.37,0.57,-0.003,-0.0011
AR,2012,3.74,0.6,-0.002,-0.001
AR,2013,3.65,0.49,-0.002,-0.0009
AR,2014,4.28,0.53,-0.002,-0.001
AR,2015,3.95,0.36,-0.002,-0.0006
AR,2016,3.79,0.22,-0.001,-0.0005
AR,2017,4.06,0.19,-0.001,-0.0007
AR,2018,4.57,0.15,-0.0,-0.0003
AR,2019,4.35,0.11,-0.001,-0.0003
AR,2020,3.26,0.03,-0.0,-0.0
AR,2021,2.92,0.01,-0.0,-0.0
AR,2022,4.22,0.01,-0.0,-0.0
AR,2023,6.63,0.03,-0.0,-0.0
AR,2024,6.84,0.0,0.0,0.0
AZ,1999,7.44,0.58,-0.001,-0.0005
AZ,2000,8.23,0.78,-0.002,-0.0006
AZ,2001,7.1,0.71,-0.002,-0.0007
AZ,2002,6.52,0.64,-0.002,-0.0006
AZ,2003,5.58,0.6,-0.002,-0.0007
AZ,2004,5.76,1.64,-0.006,-0.0016
AZ,2005,5.8,7.04,-0.039,-0.0041
AZ,2006,6.42,14.8,-0.097,-0.0076
AZ,2007,6.37,17.38,-0.105,-0.0086
AZ,2008,6.14,9.66,-0.052,-0.0049
AZ,2009,5.13,1.2,-0.005,-0.0006
AZ,2010,4.93,1.16,-0.005,-0.0006
AZ,2011,4.6,0.59,-0.002,-0.0003
AZ,2012,4.02,0.89,-0.004,-0.0005
AZ,2013,3.86,0.43,-0.002,-0.0004
AZ,2014,4.44,0.24,-0.001,-0.0003
AZ,2015,4.08,0.11,-0.0,-0.0001
AZ,2016,3.93,0.05,-0.0,-0.0001
AZ,2017,4.21,0.02,-0.0,-0.0
AZ,2018,4.68,0.01,-0.0,-0.0
AZ,2019,4.39,0.0,-0.0,-0.0
AZ,2020,3.32,0.0,-0.0,-0.0
AZ,2021,2.98,0.0,-0.0,-0.0
AZ,2022,4.09,0.01,-0.0,-0.0
AZ,2023,6.56,0.0,-0.0,-0.0
AZ,2024,6.79,0.0,0.0,0.0
CA,1999,7.32,0.11,-0.0,-0.0001
CA,2000,8.13,0.15,-0.0,-0.0001
CA,2001,6.99,0.06,-0.0,-0.0001
CA,2002,6.44,0.07,-0.0,-0.0001
CA,2003,5.52,0.26,-0.001,-0.0003
CA,2004,5.6,1.08,-0.005,-0.0009
CA,2005,5.67,4.57,-0.026,-0.0028
CA,2006,6.29,8.54,-0.055,-0.0046
CA,2007,6.25,9.88,-0.059,-0.005
CA,2008,6.04,4.23,-0.019,-0.0024
CA,2009,5.04,0.31,-0.001,-0.0002
CA,2010,4.84,0.38,-0.001,-0.0002
CA,2011,4.5,0.23,-0.001,-0.0001
CA,2012,3.9,0.31,-0.001,-0.0001
CA,2013,3.78,0.13,-0.001,-0.0001
CA,2014,4.41,0.06,-0.0,-0.0001
CA,2015,4.03,0.02,-0.0,-0.0
CA,2016,3.85,0.02,-0.0,-0.0
CA,2017,4.15,0.03,-0.0,-0.0
CA,2018,4.63,0.03,-0.0,-0.0001
CA,2019,4.25,0.01,-0.0,-0.0
CA,2020,3.18,0.0,-0.0,-0.0
CA,2021,2.86,0.0,-0.0,-0.0
CA,2022,3.92,0.01,-0.0,-0.0
CA,2023,6.58,0.0,-0.0,-0.0
CA,2024,6.82,0.0,0.0,0.0
CO,1999,7.39,0.53,-0.0,-0.0003
CO,2000,8.15,0.59,-0.001,-0.0003
CO,2001,6.99,0.8,-0.001,-0.0005
CO,2002,6.4,0.89,-0.002,-0.0007
CO,2003,5.51,1.01,-0.002,-0.0008
CO,2004,5.6,1.59,-0.004,-0.0013
CO,2005,5.67,2.38,-0.007,-0.0019
CO,2006,6.35,3.33,-0.011,-0.0024
CO,2007,6.32,4.03,-0.012,-0.0026
CO,2008,6.08,2.6,-0.008,-0.0016
CO,2009,5.02,0.6,-0.002,-0.0003
CO,2010,4.82,0.51,-0.002,-0.0004
CO,2011,4.48,0.26,-0.001,-0.0002
CO,2012,3.84,0.08,-0.0,-0.0001
CO,2013,3.75,0.05,-0.0,-0.0001
CO,2014,4.39,0.03,-0.0,-0.0
CO,2015,4.04,0.01,-0.0,-0.0
CO,2016,3.88,0.01,-0.0,-0.0
CO,2017,4.14,0.01,-0.0,-0.0
CO,2018,4.6,0.01,-0.0,-0.0
CO,2019,4.28,0.01,0.0,-0.0
CO,2020,3.26,0.0,-0.0,-0.0
CO,2021,2.91,0.0,-0.0,-0.0
CO,2022,4.12,0.01,-0.0,-0.0
CO,2023,6.52,0.0,0.0,0.0
CO,2024,6.76,0.0,0.0,0.0
CT,1999,7.21,0.11,-0.0,-0.0004
CT,2000,8.06,0.21,-0.0,-0.0004
CT,2001,6.94,0.2,-0.001,-0.0006
CT,2002,6.38,0.27,-0.001,-0.0007
CT,2003,5.46,0.36,-0.002,-0.001
CT,2004,5.57,1.34,-0.007,-0.0033
CT,2005,5.67,3.33,-0.018,-0.0057
CT,2006,6.33,5.13,-0.032,-0.0084
CT,2007,6.29,6.78,-0.039,-0.01
CT,2008,6.06,4.55,-0.028,-0.0077
CT,2009,4.99,0.98,-0.005,-0.0017
CT,2010,4.76,0.99,-0.005,-0.0016
CT,2011,4.39,0.8,-0.004,-0.0013
CT,2012,3.75,0.73,-0.003,-0.001
CT,2013,3.63,0.77,-0.003,-0.0012
CT,2014,4.31,0.69,-0.003,-0.0012
CT,2015,3.93,0.3,-0.001,-0.0005
CT,2016,3.75,0.28,-0.001,-0.0006
CT,2017,4.02,0.2,-0.0,-0.0003
CT,2018,4.54,0.05,-0.0,-0.0001
CT,2019,4.27,0.02,-0.0,-0.0001
CT,2020,3.23,0.01,-0.0,-0.0
CT,2021,2.91,0.0,-0.0,-0.0
CT,2022,4.18,0.0,-0.0,-0.0
CT,2023,6.68,0.0,0.0,0.0
CT,2024,6.89,0.0,0.0,0.0
DC,1999,7.13,0.32,0.0,-0.0002
DC,2000,8.11,0.63,0.0,-0.0005
DC,2001,7.07,0.19,-0.0,-0.0
