merchant_name,avg_txn_value
Estrada-Roman,4999.99
Moore-Ortega,4999.77
"Mitchell, Lee and Brown",4999.7
"Peterson, Norton and Villanueva",4999.66
"Schaefer, Brooks and Schmidt",4999.61
"Hill, Price and Brooks",4999.61
"Willis, Bailey and Reyes",4999.6
"Perkins, Maxwell and Harper",4999.54
"James, Dodson and Davis",4999.44
"Haas, Pham and King",4999.32
Pierce-Hanson,4999.17
Pratt-King,4999.07
"Wilson, Pham and Hill",4998.98
Krause-Graves,4998.92
Clay-Jarvis,4998.85
Boyer-Mills,4998.85
Crawford-Thomas,4998.81
"Michael, Myers and Daniels",4998.56
"Rice, Rhodes and Lee",4998.48
"Wallace, Dalton and Ortega",4998.44
"Caldwell, Mcclain and Smith",4998.44
Holt-Dorsey,4998.42
Bennett-Fisher,4998.39
"Pearson, Palmer and Newton",4998.27
"Meza, Garcia and Crawford",4998.2
Medina-Doyle,4998.1
"Vega, Jenkins and Sullivan",4998.05
Garcia-Townsend,4997.88
"Buckley, Brown and Zhang",4997.87
Myers-Trujillo,4997.61
Conner-Cummings,4997.57
Taylor-Fisher,4997.47
"Griffin, Tanner and Patrick",4997.42
Romero-Acosta,4997.34
"Campbell, Allen and Berg",4997.31
"Adams, Ramirez and Morse",4997.28
"Rivera, Smith and Mitchell",4997.1
Larson-Price,4996.92
Weber-Watts,4996.92
"Perkins, Smith and Ellis",4996.83
Foster-Morris,4996.68
"Boyer, Haney and Lee",4996.64
Morris-Dunn,4996.59
"Wilkerson, Warner and Green",4996.55
"Williams, Hale and Leon",4996.54
"Lopez, Johnson and Howe",4996.53
Ibarra-Johnson,4996.53
Williams-Lane,4996.51
Carrillo-Gutierrez,4996.48
"Small, Sims and Edwards",4996.46
"Mcguire, Martin and Mcknight",4996.41
"Davis, English and Anderson",4996.39
"Martin, Palmer and Green",4996.33
"Cook, Stark and Wilson",4996.24
Byrd-Campbell,4996.16
Hansen-Reynolds,4996.06
"Malone, Woods and Gomez",4995.94
"Hoffman, Thomas and Rivera",4995.9
"Smith, Evans and Johnson",4995.9
Cruz-Bautista,4995.73
"Craig, Nichols and Shaw",4995.72
"Neal, Chen and Martinez",4995.66
