current_loan_delinquency_status,avg_ltv,avg_dti
0,70.71,99.74
1,76.43,111.2
10,79.33,159.45
100,71.45,62.98
101,77.52,183.73
102,74.81,76.22
103,73.97,117.3
104,68.52,166.29
105,75.25,85.75
106,77.11,94.84
107,72.42,139.0
108,75.56,72.62
109,71.56,69.63
11,79.11,158.63
110,68.44,39.56
111,74.17,42.22
112,69.93,45.27
113,76.25,90.5
114,74.5,121.58
115,72.77,42.38
116,66.91,33.09
117,67.86,40.0
118,66.73,125.64
119,76.27,35.4
12,79.36,156.32
120,67.71,32.43
121,73.33,39.0
122,74.64,40.82
123,55.75,35.25
124,70.14,176.29
125,65.8,32.0
126,75.67,37.78
127,79.27,127.18
128,73.73,40.82
129,76.6,41.4
13,79.62,157.93
130,78.25,37.62
131,81.89,148.33
132,77.86,39.86
133,73.0,232.0
134,59.33,39.5
135,67.0,43.14
136,68.6,41.2
137,76.0,38.0
138,68.67,33.67
139,75.17,42.0
14,79.13,153.11
140,74.5,30.5
141,87.75,286.25
142,73.29,42.86
143,83.0,232.8
144,69.8,38.8
145,95.0,18.0
146,71.33,202.67
147,80.62,156.88
148,70.62,37.88
149,64.9,34.8
15,78.94,160.21
150,85.6,40.4
151,64.75,37.0
152,73.0,36.2
153,53.5,43.0
154,85.0,49.5
155,67.0,59.0
156,92.0,37.0
157,56.0,27.0
158,66.2,41.6
159,70.0,45.29
16,78.59,158.15
160,80.0,51.0
161,44.0,62.0
162,76.4,233.6
163,75.0,62.0
164,80.25,30.25
165,87.0,31.5
166,87.5,41.5
167,77.5,43.0
168,78.17,40.17
169,71.0,43.33
17,79.23,165.09
170,40.0,18.0
171,73.33,46.0
172,94.0,49.0
173,70.0,32.0
174,67.5,35.5
175,65.0,37.0
176,89.0,234.8
177,77.0,39.67
178,75.0,50.0
179,71.43,42.71
18,78.88,160.92
180,67.0,45.0
181,82.5,46.75
182,90.0,44.0
183,80.0,41.0
184,62.17,40.5
185,80.0,42.5
186,55.0,35.5
187,85.2,36.4
188,81.0,37.33
189,84.2,51.0
19,78.77,163.91
190,77.0,34.0
191,60.0,39.5
193,21.0,29.0
196,95.0,34.0
197,70.0,36.0
198,57.0,38.0
199,80.0,60.0
2,73.79,99.22
20,78.82,164.82
21,78.94,165.78
22,79.01,162.64
23,78.51,161.65
24,78.27,162.6
25,77.91,156.12
26,78.01,154.72
27,78.0,147.73
28,77.56,145.92
29,76.77,153.92
3,75.11,111.57
30,77.08,156.67
31,76.81,140.29
32,76.67,159.67
33,76.7,154.55
34,77.23,150.45
35,76.56,146.86
36,76.34,141.64
37,76.58,144.6
38,76.03,125.2
39,77.02,136.37
4,76.6,126.48
40,76.39,137.48
41,76.68,130.33
42,77.23,147.6
43,76.15,129.94
44,76.86,125.02
45,75.96,125.16
46,75.65,110.45
47,74.86,134.83
48,75.79,114.36
49,76.2,138.91
5,78.04,137.59
50,76.26,104.13
51,76.08,120.7
52,76.12,107.79
53,77.77,106.76
54,76.26,111.39
55,75.95,100.8
56,75.11,119.31
57,75.96,109.14
58,75.01,103.28
59,75.78,102.45
6,78.56,147.74
60,77.21,112.87
61,75.43,95.25
62,75.2,94.66
63,77.24,88.31
64,75.32,118.36
65,76.4,94.34
66,75.2,99.56
67,76.43,100.21
68,74.53,80.27
69,74.78,98.85
7,79.09,156.2
70,74.33,88.38
71,74.61,86.1
72,75.18,108.46
73,75.55,106.6
74,75.15,74.57
75,74.3,110.88
76,75.92,73.87
77,74.04,100.95
78,74.41,80.14
79,75.26,76.78
8,79.13,156.24
80,74.93,86.62
81,75.64,52.08
82,78.07,70.42
83,74.03,93.13
84,75.64,51.2
85,75.56,58.05
86,76.58,71.1
87,74.85,75.91
88,74.96,104.31
89,75.73,56.25
9,79.48,161.14
90,72.53,91.51
91,75.22,75.12
92,76.29,51.1
93,76.93,93.68
94,73.69,39.11
95,73.55,90.67
96,77.76,76.34
97,74.25,38.35
98,73.52,60.24
99,72.43,80.3
RA,82.13,108.33
