customer_id,active_days
CUST1507,15
CUST4777,10
CUST7407,15
CUST2677,10
CUST5995,8
CUST3895,16
CUST8577,11
CUST8716,12
CUST6884,13
CUST7666,14
CUST2416,10
CUST1766,10
CUST4516,11
CUST7018,9
CUST2268,12
CUST7081,11
CUST8434,15
CUST1118,8
CUST4368,9
CUST1181,13
CUST4634,8
CUST1444,13
CUST8168,11
CUST2734,14
CUST7544,13
CUST2555,12
CUST7725,12
CUST8390,9
CUST8309,10
CUST4455,9
CUST1625,13
CUST1379,14
CUST4190,11
CUST4109,7
CUST8655,11
CUST7279,16
CUST2009,16
CUST2090,8
CUST6827,7
CUST4070,16
CUST1200,12
CUST1299,11
CUST7399,11
CUST2170,9
CUST7300,11
CUST9957,9
CUST8270,15
CUST8011,16
CUST8088,12
CUST5936,8
CUST2311,8
CUST7161,9
CUST2388,13
CUST4211,10
CUST4288,12
CUST1061,15
CUST3836,8
CUST7786,11
CUST9814,17
CUST8333,7
CUST1686,4
CUST1343,12
CUST4133,11
CUST6964,15
CUST7243,6
CUST2033,13
CUST7022,6
CUST2252,6
CUST5875,11
CUST3975,11
CUST8497,8
CUST1122,10
CUST4352,15
CUST4697,12
CUST8152,11
CUST2797,8
CUST9727,11
CUST6392,9
CUST3427,9
CUST6657,9
CUST5527,6
CUST9083,10
CUST5746,15
CUST3646,9
CUST6436,8
CUST3383,16
CUST5283,15
CUST9546,14
CUST6714,8
CUST8886,9
CUST3564,11
CUST9338,9
CUST5464,8
CUST5138,17
CUST9664,12
CUST3038,16
CUST6248,19
CUST3259,6
CUST6029,15
CUST9405,12
CUST5359,11
CUST5605,9
CUST9159,9
CUST6575,13
CUST3705,8
CUST9020,12
CUST6495,7
CUST4907,12
CUST6150,8
CUST3320,10
CUST5220,12
CUST2807,10
CUST9784,11
CUST7816,8
CUST5041,14
CUST6331,11
CUST3141,14
CUST1916,11
CUST8966,16
CUST3484,9
CUST5584,8
CUST9241,16
CUST3263,13
CUST6013,8
CUST4844,11
CUST2944,12
CUST5363,10
CUST9163,16
CUST8825,14
CUST9302,7
CUST5102,13
CUST7955,10
CUST1855,8
CUST3002,10
CUST6272,10
CUST9726,9
CUST6393,11
CUST6656,9
CUST3426,7
CUST5526,9
CUST9082,15
CUST5747,8
CUST6437,7
CUST3647,7
CUST3382,13
CUST5282,13
CUST9547,13
CUST3565,10
CUST8887,15
CUST6715,13
CUST9339,8
CUST5465,7
CUST5139,13
CUST9665,9
CUST6249,9
CUST3039,13
CUST6028,9
CUST3258,10
CUST9404,13
CUST5358,14
CUST5604,11
CUST9158,5
CUST3704,10
CUST6574,14
CUST9021,9
CUST6494,10
CUST4906,9
CUST3321,13
CUST6151,9
CUST5221,10
CUST2806,11
CUST9785,10
CUST7817,10
CUST5040,14
CUST3140,13
CUST6330,10
CUST1917,10
CUST3485,16
CUST8967,10
CUST5585,9
CUST9240,13
CUST6012,11
CUST3262,10
CUST4845,12
CUST2945,9
CUST5362,10
CUST9162,14
CUST8824,12
CUST9303,9
CUST5103,8
CUST7954,14
CUST1854,12
CUST6273,9
CUST3003,20
CUST4776,11
CUST1506,10
CUST2676,7
CUST7406,10
CUST5994,11
CUST8576,7
CUST3894,11
CUST6885,13
CUST8717,12
CUST2417,5
CUST7667,13
CUST4517,17
CUST1767,12
CUST7080,11
CUST7019,12
CUST2269,10
CUST8435,12
CUST4369,12
CUST1180,13
CUST1119,8
CUST1445,11
CUST4635,16
CUST8169,10
CUST7545,8
CUST2735,13
CUST7724,13
CUST2554,11
CUST8308,13
CUST8391,5
CUST1624,16
CUST4454,4
CUST4108,11
CUST1378,7
CUST4191,9
CUST8654,15
CUST2008,8
CUST2091,13
CUST7278,6
CUST6826,13
CUST1201,10
CUST1298,11
CUST4071,12
CUST7301,12
CUST7398,7
CUST2171,10
CUST9956,10
CUST8271,6
CUST8089,13
CUST8010,9
CUST5937,9
CUST2389,12
CUST7160,15
CUST2310,10
CUST1060,13
CUST4210,11
CUST4289,4
CUST3837,11
CUST9815,9
CUST7787,19
CUST8332,10
CUST1687,13
CUST4132,14
CUST1342,18
CUST6965,16
CUST2032,10
CUST7242,14
CUST2253,7
CUST7023,7
CUST5874,10
CUST8496,17
CUST3974,14
CUST4353,16
CUST1123,9
CUST4696,7
CUST8153,9
CUST2796,8
CUST9598,8
CUST9501,7
CUST5798,12
CUST5701,12
CUST3698,6
CUST3601,4
CUST6471,12
CUST8982,9
CUST3460,15
CUST6689,10
CUST6610,8
CUST5560,9
CUST9760,12
CUST9187,13
CUST5642,14
CUST3742,14
CUST6532,7
CUST4839,9
CUST3287,14
CUST5387,13
CUST9442,10
CUST2939,13
CUST9623,11
CUST7928,15
CUST6296,17
CUST1828,22
CUST8858,9
CUST3523,12
CUST6753,12
CUST5423,10
CUST8921,11
CUST9206,11
CUST5006,8
CUST7851,12
CUST1951,13
CUST3106,9
CUST6376,9
CUST3367,14
CUST6117,6
CUST4940,15
CUST2840,10
CUST5267,8
CUST9067,14
CUST9619,11
CUST9680,11
CUST7912,15
CUST5145,9
CUST6235,20
CUST3045,11
CUST1812,4
CUST8862,10
CUST3580,6
CUST3519,15
CUST6769,14
CUST5419,16
CUST5480,13
CUST9345,10
CUST9124,10
CUST5678,6
CUST3778,12
CUST6508,7
CUST6591,12
CUST4803,6
CUST6054,10
CUST3224,11
CUST5324,11
CUST9478,12
CUST2903,15
CUST2451,11
CUST7621,8
CUST8294,18
CUST4551,13
CUST1721,10
CUST4094,10
CUST8751,13
CUST2194,13
CUST7185,14
CUST8530,9
CUST1085,14
CUST4730,15
CUST1540,11
CUST2630,15
CUST7440,7
CUST6919,16
CUST6980,20
CUST8612,12
CUST7762,11
CUST2512,8
CUST9869,3
CUST1662,9
CUST4412,7
CUST1403,17
CUST4673,12
CUST7503,11
CUST2773,12
CUST5891,11
CUST5808,11
CUST3991,8
CUST8473,14
CUST3908,14
CUST7126,12
CUST2356,14
CUST5971,19
CUST3871,6
CUST8593,10
CUST1026,17
CUST4256,11
CUST4793,13
CUST8056,9
CUST2693,11
CUST9910,12
CUST9989,15
CUST7682,9
CUST8237,13
CUST1782,12
CUST1247,11
CUST4037,13
CUST6860,8
CUST7347,15
CUST2137,8
CUST8115,8
CUST1439,11
CUST4649,8
CUST7539,12
CUST2749,11
CUST5832,15
CUST2215,11
CUST7065,12
CUST4315,12
CUST1165,16
CUST3932,17
CUST6923,9
CUST8449,14
CUST8628,10
CUST4174,9
CUST1304,11
CUST2074,11
CUST7204,8
CUST7758,13
CUST9853,8
CUST1658,12
CUST2528,8
CUST4428,5
CUST8374,11
CUST7620,15
CUST2450,10
CUST8295,12
CUST1720,8
CUST4550,11
CUST4095,9
CUST8750,8
CUST2195,10
CUST7184,11
CUST8531,21
CUST1084,11
CUST1541,10
CUST4731,13
CUST7441,11
CUST2631,10
CUST6981,10
CUST8613,13
CUST6918,7
CUST2513,16
CUST7763,15
CUST9868,13
CUST4413,10
CUST1663,9
CUST4672,11
CUST1402,6
CUST2772,12
CUST7502,15
CUST5809,10
CUST5890,7
CUST8472,11
CUST3909,4
CUST3990,14
CUST2357,10
CUST7127,9
CUST5970,3
CUST8592,12
CUST3870,11
CUST4257,11
CUST1027,17
CUST4792,7
CUST8057,5
CUST2692,13
CUST9988,5
CUST7683,16
CUST9911,10
CUST8236,18
CUST1783,12
CUST4036,18
CUST1246,7
CUST6861,4
CUST2136,13
CUST7346,9
CUST8114,6
CUST4648,13
CUST1438,6
CUST2748,5
CUST7538,9
CUST5833,11
CUST7064,14
CUST2214,8
CUST1164,12
CUST4314,17
CUST3933,12
CUST8448,11
CUST8629,14
CUST6922,11
CUST1305,12
CUST4175,12
CUST7205,14
CUST2075,7
CUST9852,10
CUST2529,7
CUST7759,13
CUST4429,8
CUST1659,15
CUST8375,7
CUST9500,7
CUST9599,14
CUST5700,8
CUST5799,15
CUST3600,11
CUST3699,8
CUST6470,12
CUST3461,14
CUST6611,15
CUST8983,9
CUST6688,8
CUST5561,9
CUST9761,11
CUST9186,10
CUST5643,9
CUST6533,12
CUST3743,13
CUST4838,12
CUST3286,6
CUST5386,8
CUST2938,14
CUST7929,11
CUST9443,7
CUST9622,18
CUST6297,17
CUST1829,11
CUST6752,9
CUST8859,11
CUST3522,11
CUST5422,13
CUST8920,9
CUST9207,10
CUST5007,7
CUST7850,11
CUST1950,7
CUST6377,8
CUST3107,10
CUST6116,7
CUST3366,7
CUST4941,8
CUST2841,9
CUST5266,10
CUST9066,11
CUST7913,12
CUST9618,13
CUST9681,11
CUST5144,7
CUST3044,14
