maturity_year,default_rate_percent
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.36
2007,0.26
2008,0.0
2009,0.22
2010,0.37
2011,0.12
2012,0.14
2013,0.09
2014,0.24
2015,0.39
2016,0.31
2017,0.32
2018,0.31
2019,0.66
2020,0.89
2021,0.92
2022,0.86
2023,0.72
2024,0.5
2025,0.49
2026,0.43
2027,0.37
2028,0.24
2029,0.67
2030,0.71
2031,0.96
2032,1.23
2033,1.5
2034,2.31
2035,3.24
2036,4.05
2037,6.54
2038,4.46
2039,0.88
2040,0.81
2041,0.56
2042,0.64
2043,0.46
2044,0.26
2045,0.13
2046,0.09
2047,0.15
2048,0.07
2049,0.03
2050,0.01
2051,0.01
2052,0.01
2053,0.0
2054,0.0
2055,0.0
2056,0.0
2057,0.0
2058,0.0
2059,0.0
2060,0.0
2061,0.0
2062,0.0
2063,0.0
2064,0.0
