monthly_reporting_period,modifications,modified_upb
1999-04-01,0,0
1999-05-01,0,0
1999-06-01,0,0
1999-07-01,0,0
1999-08-01,0,0
1999-09-01,0,0
1999-10-01,0,0
1999-11-01,0,0
1999-12-01,0,0
2000-01-01,0,0
2000-02-01,2,203000
2000-03-01,2,189000
2000-04-01,3,257000
2000-05-01,4,415000
2000-06-01,3,295000
2000-07-01,2,234000
2000-08-01,14,1442000
2000-09-01,13,1403000
2000-10-01,14,1779000
2000-11-01,18,2058000
2000-12-01,35,4022000
2001-01-01,31,3528000
2001-02-01,31,3819000
2001-03-01,39,5228000
2001-04-01,43,5361000
2001-05-01,72,9135000
2001-06-01,45,5636000
2001-07-01,60,7743000
2001-08-01,66,8050000
2001-09-01,39,4684000
2001-10-01,70,8865000
2001-11-01,80,10869000
2001-12-01,86,10562000
2002-01-01,79,10419000
2002-02-01,104,13597000
2002-03-01,127,15652000
2002-04-01,145,19095000
2002-05-01,134,17483000
2002-06-01,171,20997000
2002-07-01,182,22571000
2002-08-01,164,19151233
2002-09-01,195,27026000
2002-10-01,198,25628000
2002-11-01,190,23547000
2002-12-01,175,24137000
2003-01-01,182,23981000
2003-02-01,239,31709000
2003-03-01,253,33484000
2003-04-01,295,39084000
2003-05-01,260,33680000
2003-06-01,302,39799000
2003-07-01,278,36690000
2003-08-01,253,33621000
2003-09-01,212,29536000
2003-10-01,214,28157000
2003-11-01,232,29647000
2003-12-01,246,33182000
2004-01-01,237,31553000
2004-02-01,222,27914000
2004-03-01,214,27505000
2004-04-01,233,29805000
2004-05-01,231,31941609
2004-06-01,225,28728000
2004-07-01,219,28539000
2004-08-01,223,28697000
2004-09-01,218,27341000
2004-10-01,256,33011000
2004-11-01,242,30506000
2004-12-01,318,39610832
2005-01-01,300,37945000
2005-02-01,331,40602000
2005-03-01,319,38847454
2005-04-01,231,28028000
2005-05-01,266,32285000
2005-06-01,259,32094541
2005-07-01,234,28779518
2005-08-01,228,27485000
2005-09-01,207,25705000
2005-10-01,274,33800000
2005-11-01,258,31216069
2005-12-01,290,36934000
2006-01-01,329,41892000
2006-02-01,650,82116686
2006-03-01,585,73341000
2006-04-01,516,66762296
2006-05-01,753,93806000
2006-06-01,464,59683000
2006-07-01,451,59045000
2006-08-01,427,56885000
2006-09-01,311,41881462
2006-10-01,446,61737436
2006-11-01,385,51108578
2006-12-01,548,74048000
2007-01-01,474,64288000
2007-02-01,363,46321262
2007-03-01,461,61751000
2007-04-01,413,57594000
2007-05-01,450,61308839
2007-06-01,460,62591000
2007-07-01,467,64362135
2007-08-01,371,51285856
2007-09-01,338,47470000
2007-10-01,447,68668000
2007-11-01,410,58715072
2007-12-01,524,74285000
2008-01-01,643,93896793
2008-02-01,785,111799000
2008-03-01,1012,154559113
2008-04-01,958,147363388
2008-05-01,986,148249346
2008-06-01,1096,168189000
2008-07-01,1057,165421220
2008-08-01,1331,217888000
2008-09-01,1728,292662825
2008-10-01,1688,298387403
2008-11-01,1872,330406000
2008-12-01,3295,609044826
2009-01-01,2448,438741597
2009-02-01,4500,845934177
2009-03-01,3450,642793383
2009-04-01,4885,912687848
2009-05-01,2818,516632980
2009-06-01,1884,324778459
2009-07-01,1510,254239139
2009-08-01,1733,284584947
2009-09-01,1557,258206030
2009-10-01,1679,283956887
2009-11-01,1697,315229652
