current_loan_delinquency_status,avg_legal_costs,avg_maintenance_costs,avg_taxes_insurance,avg_total_cost
0,-0.39,-0.21,-0.62,-1.22
1,-0.54,-0.21,-2.15,-2.9
10,-994.42,-152.38,-1220.91,-2367.71
100,-7182.74,-6890.07,-37549.27,-51622.09
101,-6427.65,-5427.45,-40043.03,-51898.13
102,-11749.56,-5635.63,-39258.07,-56643.26
103,-7979.13,-2600.61,-49692.85,-60272.6
104,-8239.6,-3846.77,-42410.31,-54496.67
105,-6506.21,-2494.54,-42279.21,-51279.95
106,-11021.85,-3500.51,-44061.27,-58583.63
107,-10403.5,-5135.55,-41277.51,-56816.57
108,-6407.48,-7356.08,-47143.67,-60907.24
109,-8298.88,-7785.65,-48920.5,-65005.03
11,-1162.49,-191.47,-1496.48,-2850.44
110,-6227.4,-4689.89,-48348.95,-59266.25
111,-5281.33,-3870.68,-41000.53,-50152.54
112,-8633.82,-3451.51,-35828.02,-47913.36
113,-10112.43,-4583.22,-51340.79,-66036.44
114,-7508.01,-5952.69,-30546.77,-44007.47
115,-5801.2,-5972.53,-29209.07,-40982.81
116,-7498.36,-5350.14,-43340.26,-56188.76
117,-12492.46,-2231.12,-50340.56,-65064.15
118,-14082.44,-6579.63,-31033.67,-51695.74
119,-4862.48,-1569.41,-30361.82,-36793.7
12,-1297.52,-221.04,-1688.96,-3207.52
120,-9042.6,-1531.52,-29448.14,-40022.26
121,1131.84,-5583.66,-40518.02,-44969.84
122,-10640.62,-11471.88,-29432.56,-51545.06
123,-10542.09,-623.28,-25740.55,-36905.92
124,-9773.77,-8746.79,-31730.43,-50250.99
125,-12961.14,-8894.56,-66297.61,-88153.32
126,-2905.88,-6094.96,-15695.19,-24696.03
127,-8854.94,-6493.51,-48006.07,-63354.51
128,-20079.59,-10590.4,-70761.3,-101431.29
129,-9213.57,-1401.21,-73893.33,-84508.1
13,-1409.15,-281.67,-1953.5,-3644.33
130,-34251.82,-7292.89,-37486.69,-79031.39
