monthly_reporting_period,avg_ltv,avg_dti
1999-04-01,69.33,37.0
1999-05-01,64.3,33.93
1999-06-01,68.09,35.49
1999-07-01,71.31,57.4
1999-08-01,68.41,46.75
1999-09-01,69.03,51.32
1999-10-01,68.54,44.0
1999-11-01,68.94,50.87
1999-12-01,69.29,50.2
2000-01-01,69.55,49.51
2000-02-01,69.13,57.0
2000-03-01,69.78,57.12
2000-04-01,70.64,54.64
2000-05-01,70.33,53.27
2000-06-01,71.25,52.68
2000-07-01,71.57,56.79
2000-08-01,71.38,55.91
2000-09-01,71.46,59.59
2000-10-01,71.62,59.68
2000-11-01,72.02,55.51
2000-12-01,71.97,55.43
2001-01-01,72.84,49.58
2001-02-01,73.59,48.86
2001-03-01,73.76,50.56
2001-04-01,73.59,51.46
2001-05-01,73.35,52.86
2001-06-01,73.26,54.01
2001-07-01,73.25,56.94
2001-08-01,73.26,54.92
2001-09-01,72.76,53.29
2001-10-01,72.62,52.18
2001-11-01,72.15,52.51
2001-12-01,71.93,52.7
2002-01-01,72.35,56.01
2002-02-01,72.5,57.23
2002-03-01,72.47,57.26
2002-04-01,72.6,56.81
2002-05-01,72.5,57.22
2002-06-01,72.42,58.09
2002-07-01,71.82,56.22
2002-08-01,71.32,54.52
2002-09-01,70.93,53.46
2002-10-01,70.71,52.48
2002-11-01,70.51,52.43
2002-12-01,70.53,52.6
2003-01-01,70.12,53.15
2003-02-01,70.0,52.88
2003-03-01,69.72,52.37
2003-04-01,69.07,52.3
2003-05-01,69.57,52.81
2003-06-01,68.76,52.12
2003-07-01,68.34,51.67
2003-08-01,68.69,51.75
2003-09-01,69.66,52.31
2003-10-01,70.42,53.07
2003-11-01,70.92,54.38
2003-12-01,70.73,55.14
2004-01-01,70.29,55.67
2004-02-01,69.76,53.66
2004-03-01,69.65,52.91
2004-04-01,68.69,51.57
2004-05-01,69.56,52.93
2004-06-01,70.22,52.86
2004-07-01,70.26,52.36
2004-08-01,70.41,52.32
2004-09-01,70.41,52.46
2004-10-01,70.29,52.51
2004-11-01,70.24,53.39
2004-12-01,70.21,52.31
2005-01-01,69.86,52.84
2005-02-01,70.23,53.34
2005-03-01,70.27,52.86
2005-04-01,69.91,52.64
2005-05-01,70.22,52.03
2005-06-01,70.2,51.74
2005-07-01,69.99,51.42
2005-08-01,70.05,51.49
2005-09-01,69.88,52.27
2005-10-01,69.71,51.77
2005-11-01,69.61,52.66
2005-12-01,69.07,53.65
2006-01-01,68.97,55.01
2006-02-01,69.21,53.93
2006-03-01,69.24,53.97
2006-04-01,69.1,53.96
2006-05-01,69.37,52.12
2006-06-01,69.24,53.2
2006-07-01,69.26,53.52
2006-08-01,69.19,53.43
2006-09-01,69.2,53.48
2006-10-01,68.78,54.6
2006-11-01,68.76,54.26
2006-12-01,68.49,55.11
2007-01-01,68.0,54.77
2007-02-01,68.14,55.61
2007-03-01,68.19,54.61
2007-04-01,68.37,55.07
2007-05-01,68.47,54.19
2007-06-01,68.36,53.25
2007-07-01,68.52,53.91
2007-08-01,68.29,54.07
2007-09-01,68.22,52.83
2007-10-01,67.99,53.88
2007-11-01,67.65,56.05
2007-12-01,67.9,54.11
2008-01-01,67.35,55.27
2008-02-01,68.13,57.0
2008-03-01,67.7,55.35
2008-04-01,67.35,55.18
2008-05-01,67.42,54.58
2008-06-01,67.45,53.86
2008-07-01,67.12,55.65
2008-08-01,67.39,53.92
2008-09-01,67.01,53.79
2008-10-01,66.44,54.58
2008-11-01,66.67,54.59
2008-12-01,66.48,60.75
2009-01-01,67.04,54.68
2009-02-01,67.02,53.97
2009-03-01,66.35,54.7
2009-04-01,66.49,53.26
2009-05-01,66.61,53.23
2009-06-01,66.92,53.72
2009-07-01,66.8,54.88
2009-08-01,66.96,54.47
2009-09-01,66.69,55.86
2009-10-01,66.82,55.58
2009-11-01,66.78,54.66
2009-12-01,66.57,55.97
2010-01-01,66.27,55.42
2010-02-01,66.65,55.95
2010-03-01,66.97,56.99
2010-04-01,67.28,57.93
2010-05-01,67.36,60.0
2010-06-01,67.07,60.9
2010-07-01,66.47,59.41
2010-08-01,66.77,59.06
2010-09-01,66.7,60.63
2010-10-01,66.47,62.28
2010-11-01,66.33,63.88
2010-12-01,66.27,65.91
2011-01-01,66.15,69.93
2011-02-01,66.35,69.59
2011-03-01,66.36,71.19
2011-04-01,66.58,73.64
2011-05-01,66.72,79.18
2011-06-01,66.65,82.49
2011-07-01,66.32,81.98
2011-08-01,66.28,85.15
2011-09-01,66.11,81.5
2011-10-01,65.69,86.36
2011-11-01,65.57,86.85
2011-12-01,65.64,90.5
2012-01-01,65.73,91.69
2012-02-01,66.41,95.54
2012-03-01,66.78,95.39
2012-04-01,67.44,97.41
2012-05-01,68.1,103.5
2012-06-01,68.04,101.85
2012-07-01,67.63,105.61
2012-08-01,67.61,106.27
2012-09-01,67.54,109.13
2012-10-01,67.77,112.62
2012-11-01,67.66,115.26
2012-12-01,67.52,118.66
2013-01-01,67.7,121.83
2013-02-01,68.22,123.52
2013-03-01,68.41,128.6
2013-04-01,68.56,134.84
2013-05-01,68.99,139.86
2013-06-01,69.17,149.23
2013-07-01,69.13,155.75
2013-08-01,69.41,155.28
2013-09-01,69.57,154.17
2013-10-01,69.53,157.22
2013-11-01,69.58,162.52
2013-12-01,69.66,161.97
2014-01-01,68.55,154.73
2014-02-01,69.37,160.26
2014-03-01,69.38,168.47
2014-04-01,69.88,175.03
2014-05-01,70.09,184.32
2014-06-01,70.51,192.17
2014-07-01,70.62,198.89
2014-08-01,70.72,197.36
2014-09-01,70.52,198.11
2014-10-01,70.7,199.0
2014-11-01,70.79,187.08
2014-12-01,70.47,190.63
2015-01-01,69.99,183.59
2015-02-01,71.64,171.93
2015-03-01,71.58,181.29
2015-04-01,71.44,197.89
2015-05-01,71.67,204.07
2015-06-01,71.65,214.74
2015-07-01,71.5,216.42
2015-08-01,71.38,215.67
2015-09-01,71.74,212.65
2015-10-01,71.56,210.35
2015-11-01,71.18,208.71
2015-12-01,71.16,210.35
2016-01-01,70.48,203.68
2016-02-01,71.48,200.23
2016-03-01,72.46,190.74
2016-04-01,72.37,200.43
2016-05-01,72.49,205.96
2016-06-01,72.78,207.41
2016-07-01,72.82,206.0
2016-08-01,73.13,191.29
2016-09-01,73.02,191.93
2016-10-01,72.87,195.54
2016-11-01,72.75,196.63
2016-12-01,72.48,203.35
2017-01-01,71.09,211.01
2017-02-01,71.14,210.4
2017-03-01,71.68,208.83
2017-04-01,71.96,208.8
2017-05-01,72.58,209.64
2017-06-01,72.82,211.72
2017-07-01,72.8,207.52
2017-08-01,72.87,205.3
2017-09-01,72.38,200.29
2017-10-01,72.53,194.74
2017-11-01,71.9,195.65
2017-12-01,71.73,193.43
2018-01-01,70.51,191.36
2018-02-01,71.01,187.7
2018-03-01,71.7,186.82
2018-04-01,71.23,189.83
2018-05-01,71.74,189.08
2018-06-01,72.26,182.26
2018-07-01,71.71,186.55
2018-08-01,72.28,187.66
2018-09-01,71.85,190.23
2018-10-01,72.22,192.57
2018-11-01,72.92,190.24
2018-12-01,72.02,195.33
2019-01-01,70.98,190.07
2019-02-01,71.97,182.83
2019-03-01,73.02,176.16
2019-04-01,72.89,169.92
2019-05-01,74.22,164.2
2019-06-01,74.01,163.2
2019-07-01,74.71,149.55
2019-08-01,75.18,151.41
2019-09-01,75.49,134.08
2019-10-01,75.32,133.43
2019-11-01,75.35,143.25
2019-12-01,74.33,142.33
2020-01-01,73.87,145.06
2020-02-01,74.62,131.44
2020-03-01,75.95,120.49
2020-04-01,76.62,100.78
2020-05-01,76.55,104.56
2020-06-01,76.17,106.41
2020-07-01,75.79,113.1
2020-08-01,75.32,106.75
2020-09-01,75.31,108.21
2020-10-01,75.13,107.03
2020-11-01,75.14,115.71
2020-12-01,74.75,110.66
2021-01-01,74.25,107.1
2021-02-01,74.59,105.18
2021-03-01,74.62,109.24
2021-04-01,74.68,122.27
2021-05-01,74.58,125.01
2021-06-01,74.61,125.78
2021-07-01,74.52,124.09
2021-08-01,74.25,114.77
2021-09-01,74.05,111.47
2021-10-01,73.86,114.6
2021-11-01,73.78,115.74
2021-12-01,73.52,123.15
2022-01-01,72.91,121.37
2022-02-01,73.09,122.54
2022-03-01,72.76,126.62
2022-04-01,72.75,129.06
2022-05-01,72.29,123.93
2022-06-01,71.95,118.88
2022-07-01,71.92,118.53
2022-08-01,71.53,120.49
2022-09-01,71.44,122.61
2022-10-01,70.95,125.88
2022-11-01,70.29,129.44
2022-12-01,70.05,132.58
2023-01-01,69.06,138.26
2023-02-01,69.93,131.61
2023-03-01,70.07,125.62
2023-04-01,70.31,123.55
2023-05-01,70.71,115.98
2023-06-01,70.96,113.07
2023-07-01,70.92,112.83
2023-08-01,70.88,116.67
2023-09-01,70.76,115.29
2023-10-01,70.78,119.72
2023-11-01,70.23,123.43
2023-12-01,69.89,124.09
2024-01-01,69.23,122.07
2024-02-01,69.9,117.19
2024-03-01,70.38,116.09
2024-04-01,70.28,107.65
2024-05-01,70.54,106.23
2024-06-01,70.59,105.46
2024-07-01,70.81,100.45
2024-08-01,70.75,99.1
2024-09-01,71.27,105.03
2024-10-01,71.51,94.37
2024-11-01,70.77,102.98
2024-12-01,71.77,78.96
