maturity_year,avg_loss_severity
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,-0.0
2007,-0.0
2008,-0.0
2009,-0.001
2010,-0.002
2011,-0.0
2012,-0.001
2013,-0.0
2014,-0.001
2015,-0.002
2016,-0.001
2017,-0.001
2018,-0.001
2019,-0.003
2020,-0.005
2021,-0.005
2022,-0.005
2023,-0.004
2024,-0.003
2025,-0.003
2026,-0.003
2027,-0.002
2028,-0.002
2029,-0.002
2030,-0.003
2031,-0.004
2032,-0.006
2033,-0.007
2034,-0.012
2035,-0.018
2036,-0.025
2037,-0.038
2038,-0.025
2039,-0.004
2040,-0.004
2041,-0.003
2042,-0.003
2043,-0.002
2044,-0.001
2045,-0.001
2046,-0.0
2047,-0.001
2048,-0.0
2049,-0.0
2050,-0.0
2051,-0.0
2052,-0.0
2053,-0.0
2054,-0.0
2055,0.0
2056,-0.033
2057,0.0
2058,0.0
2059,-0.031
2060,-0.023
2061,0.0
2062,0.0
2063,0.0
2064,0.0
