monthly_reporting_period,modified_loans
1999-04-01,0
1999-05-01,0
1999-06-01,0
1999-07-01,0
1999-08-01,0
1999-09-01,0
1999-10-01,0
1999-11-01,0
1999-12-01,0
2000-01-01,0
2000-02-01,2
2000-03-01,2
2000-04-01,3
2000-05-01,4
2000-06-01,3
2000-07-01,2
2000-08-01,14
2000-09-01,13
2000-10-01,14
2000-11-01,18
2000-12-01,35
2001-01-01,31
2001-02-01,31
2001-03-01,39
2001-04-01,43
2001-05-01,72
2001-06-01,45
2001-07-01,60
2001-08-01,66
2001-09-01,39
2001-10-01,70
2001-11-01,80
2001-12-01,86
2002-01-01,79
2002-02-01,104
2002-03-01,127
2002-04-01,145
2002-05-01,134
2002-06-01,171
2002-07-01,182
2002-08-01,164
2002-09-01,195
2002-10-01,198
2002-11-01,190
2002-12-01,175
2003-01-01,182
2003-02-01,239
2003-03-01,253
2003-04-01,295
2003-05-01,260
2003-06-01,302
2003-07-01,278
2003-08-01,253
2003-09-01,212
2003-10-01,214
2003-11-01,232
2003-12-01,246
2004-01-01,237
2004-02-01,222
2004-03-01,214
2004-04-01,233
2004-05-01,231
2004-06-01,225
2004-07-01,219
2004-08-01,223
2004-09-01,218
2004-10-01,256
2004-11-01,242
2004-12-01,318
2005-01-01,300
2005-02-01,331
2005-03-01,319
2005-04-01,231
2005-05-01,266
2005-06-01,259
2005-07-01,234
2005-08-01,228
2005-09-01,207
2005-10-01,274
2005-11-01,258
2005-12-01,290
2006-01-01,329
2006-02-01,650
2006-03-01,585
2006-04-01,516
2006-05-01,753
2006-06-01,464
2006-07-01,451
2006-08-01,427
2006-09-01,311
2006-10-01,446
2006-11-01,385
2006-12-01,548
2007-01-01,474
2007-02-01,363
2007-03-01,461
2007-04-01,413
2007-05-01,450
2007-06-01,460
2007-07-01,467
2007-08-01,371
2007-09-01,338
2007-10-01,447
2007-11-01,410
2007-12-01,524
2008-01-01,643
2008-02-01,785
2008-03-01,1012
2008-04-01,958
2008-05-01,986
2008-06-01,1096
2008-07-01,1057
2008-08-01,1331
2008-09-01,1728
2008-10-01,1688
2008-11-01,1872
2008-12-01,3295
2009-01-01,2448
2009-02-01,4500
2009-03-01,3450
2009-04-01,4885
2009-05-01,2818
2009-06-01,1884
2009-07-01,1510
2009-08-01,1733
2009-09-01,1557
2009-10-01,1679
2009-11-01,1697
2009-12-01,2980
2010-01-01,3701
2010-02-01,5523
2010-03-01,8352
2010-04-01,8336
2010-05-01,7845
2010-06-01,8187
2010-07-01,8168
2010-08-01,6543
2010-09-01,6843
2010-10-01,11003
2010-11-01,7387
2010-12-01,6598
2011-01-01,6163
2011-02-01,6324
2011-03-01,5659
2011-04-01,7606
2011-05-01,5569
2011-06-01,5566
2011-07-01,5552
2011-08-01,5136
2011-09-01,4663
2011-10-01,3642
2011-11-01,3988
2011-12-01,3780
2012-01-01,2742
2012-02-01,2713
2012-03-01,2519
2012-04-01,2151
2012-05-01,2253
2012-06-01,3058
2012-07-01,3975
2012-08-01,4528
2012-09-01,4536
2012-10-01,3971
2012-11-01,3936
2012-12-01,4075
2013-01-01,3801
2013-02-01,4546
2013-03-01,4215
2013-04-01,3843
2013-05-01,3529
2013-06-01,3985
2013-07-01,4090
2013-08-01,3950
2013-09-01,4347
2013-10-01,4641
2013-11-01,5010
2013-12-01,5291
2014-01-01,3682
2014-02-01,4043
2014-03-01,3587
2014-04-01,4149
2014-05-01,3982
2014-06-01,3426
2014-07-01,3293
2014-08-01,4283
2014-09-01,3632
2014-10-01,3337
2014-11-01,3553
2014-12-01,3188
2015-01-01,3312
2015-02-01,3266
2015-03-01,3584
2015-04-01,3552
2015-05-01,3785
2015-06-01,3549
2015-07-01,3160
2015-08-01,2854
2015-09-01,2833
2015-10-01,2733
2015-11-01,2489
2015-12-01,2354
2016-01-01,2540
2016-02-01,2188
2016-03-01,2597
2016-04-01,2717
2016-05-01,2307
2016-06-01,2429
2016-07-01,2309
2016-08-01,2590
2016-09-01,2508
2016-10-01,1827
2016-11-01,2083
2016-12-01,2032
2017-01-01,1972
2017-02-01,1978
2017-03-01,1994
2017-04-01,1871
2017-05-01,1867
2017-06-01,2272
2017-07-01,1958
2017-08-01,1906
2017-09-01,1698
2017-10-01,1751
2017-11-01,1894
2017-12-01,1848
2018-01-01,1814
2018-02-01,2076
2018-03-01,2402
2018-04-01,3426
2018-05-01,3913
2018-06-01,4663
2018-07-01,4511
2018-08-01,5502
2018-09-01,3655
2018-10-01,2558
2018-11-01,2066
2018-12-01,1571
2019-01-01,1981
2019-02-01,2173
2019-03-01,1935
2019-04-01,1830
2019-05-01,1858
2019-06-01,2583
2019-07-01,1717
2019-08-01,1379
2019-09-01,1488
2019-10-01,1472
2019-11-01,1119
2019-12-01,1489
2020-01-01,1584
2020-02-01,1570
2020-03-01,1526
2020-04-01,1305
2020-05-01,1342
2020-06-01,1458
2020-07-01,1423
2020-08-01,993
2020-09-01,817
2020-10-01,655
2020-11-01,728
2020-12-01,1518
2021-01-01,995
2021-02-01,1156
2021-03-01,1290
2021-04-01,1398
2021-05-01,1464
2021-06-01,1678
2021-07-01,1899
2021-08-01,1915
2021-09-01,1571
2021-10-01,1546
2021-11-01,1664
2021-12-01,2250
2022-01-01,3211
2022-02-01,5286
2022-03-01,5989
2022-04-01,4603
2022-05-01,4096
2022-06-01,3407
2022-07-01,2887
2022-08-01,3001
2022-09-01,2563
2022-10-01,2229
2022-11-01,1750
2022-12-01,1707
2023-01-01,1641
2023-02-01,1603
2023-03-01,1790
2023-04-01,1561
2023-05-01,1878
2023-06-01,1736
2023-07-01,1523
2023-08-01,2106
2023-09-01,1530
2023-10-01,1706
2023-11-01,1588
2023-12-01,1491
2024-01-01,1729
2024-02-01,1832
2024-03-01,1881
2024-04-01,2055
2024-05-01,2206
2024-06-01,2061
2024-07-01,1977
2024-08-01,2132
2024-09-01,1953
2024-10-01,2187
2024-11-01,1801
2024-12-01,1867
