property_state,avg_actual_loss
,0.0
ND,-93.07
GU,-125.47
NE,-168.18
SD,-170.75
TX,-189.97
AK,-232.23
CO,-251.34
WY,-254.62
DC,-292.58
KS,-320.12
MT,-325.46
UT,-332.29
IA,-337.71
TN,-370.21
KY,-378.05
OK,-390.87
VT,-410.2
VA,-426.21
NC,-452.53
AR,-475.58
LA,-501.66
MA,-501.82
MO,-526.23
WI,-551.41
IN,-576.44
PA,-589.93
OR,-606.46
AL,-615.42
DE,-627.28
WA,-629.1
SC,-655.88
ID,-660.47
MN,-690.92
NH,-699.66
ME,-731.72
HI,-799.33
WV,-815.08
NM,-833.4
MS,-852.2
CA,-861.46
OH,-865.12
MD,-905.59
CT,-927.92
GA,-962.37
NY,-1009.21
VI,-1055.34
IL,-1244.47
PR,-1272.32
MI,-1286.92
RI,-1334.36
NJ,-1388.87
AZ,-1779.8
FL,-2222.78
NV,-2864.25
