monthly_reporting_period,total_legal_costs,total_maintenance_costs,total_taxes_insurance,total_expense
1999-04-01,0.0,0.0,0.0,0.0
1999-05-01,0.0,0.0,0.0,0.0
1999-06-01,0.0,0.0,0.0,0.0
1999-07-01,0.0,0.0,0.0,0.0
1999-08-01,0.0,0.0,0.0,0.0
1999-09-01,0.0,0.0,0.0,0.0
1999-10-01,0.0,0.0,0.0,0.0
1999-11-01,0.0,0.0,0.0,0.0
1999-12-01,0.0,0.0,0.0,0.0
2000-01-01,0.0,-16.0,-17265.09,-17281.09
2000-02-01,0.0,0.0,0.0,0.0
2000-03-01,0.0,0.0,0.0,0.0
2000-04-01,-7475.4,-7.5,-680.32,-8163.22
2000-05-01,-758.95,-799.91,-1440.46,-2999.32
2000-06-01,-2324.19,-1383.2,-1376.14,-5083.53
2000-07-01,-2202.11,-15570.38,-2399.02,-20171.51
2000-08-01,-3376.19,-411.0,-2447.7,-6234.89
2000-09-01,-10899.13,-16434.96,-5727.45,-33061.54
2000-10-01,-12900.11,-49470.14,-11574.29,-73944.54
2000-11-01,-18717.67,-6244.5,-21979.24,-46941.41
2000-12-01,-22798.38,-26241.74,-9647.63,-58687.75
2001-01-01,-16743.6,-41984.43,-14718.35,-73446.38
2001-02-01,-16372.81,-39136.25,-23784.57,-79293.63
2001-03-01,-50898.64,-52219.03,-54340.82,-157458.49
2001-04-01,-64504.55,-73357.69,-49625.15,-187487.39
2001-05-01,-44106.73,-31439.38,-45536.12,-121082.23
2001-06-01,-36874.09,-66014.69,-34103.61,-136992.39
2001-07-01,-44046.38,-59191.07,-32393.09,-135630.54
2001-08-01,-88014.63,-89694.62,-65088.78,-242798.03
2001-09-01,-76411.35,-103663.41,-54507.72,-234582.48
2001-10-01,-84523.78,-176166.9,-62188.01,-322878.69
2001-11-01,-90162.38,-196306.04,-17478.91,-303947.33
2001-12-01,-119529.42,-255232.08,-104357.88,-479119.38
2002-01-01,-127636.94,-254325.18,-95059.17,-477021.29
2002-02-01,-147499.59,-189199.46,-120463.07,-457162.12
2002-03-01,-212890.97,-365694.77,-223937.4,-802523.14
2002-04-01,-191217.51,-370944.33,-201122.66,-763284.5
2002-05-01,-275435.64,-451986.75,-212229.33,-939651.72
