monthly_reporting_period,total_expense
1999-04-01,0
1999-05-01,0
1999-06-01,0
1999-07-01,0
1999-08-01,0
1999-09-01,0
1999-10-01,0
1999-11-01,0
1999-12-01,0
2000-01-01,18446744073709517054
2000-02-01,0
2000-03-01,18446744073709550846
2000-04-01,18446744073709528543
2000-05-01,18446744073709544242
2000-06-01,18446744073709536817
2000-07-01,18446744073709510518
2000-08-01,18446744073709537538
2000-09-01,18446744073709480253
2000-10-01,18446744073709395555
2000-11-01,18446744073709446808
2000-12-01,18446744073709422919
2001-01-01,18446744073709396892
2001-02-01,18446744073709380646
2001-03-01,18446744073709209903
2001-04-01,18446744073709142053
2001-05-01,18446744073709292005
2001-06-01,18446744073709253606
2001-07-01,18446744073709261655
2001-08-01,18446744073709027204
2001-09-01,18446744073709045804
2001-10-01,18446744073708856119
2001-11-01,18446744073708900797
2001-12-01,18446744073708513905
2002-01-01,18446744073708522377
2002-02-01,18446744073708553892
2002-03-01,18446744073707843345
2002-04-01,18446744073707941577
2002-05-01,18446744073707550842
2002-06-01,18446744073707732970
2002-07-01,18446744073707681237
2002-08-01,18446744073707906209
2002-09-01,18446744073707127185
2002-10-01,18446744073706773092
2002-11-01,18446744073706377971
2002-12-01,18446744073706328053
2003-01-01,18446744073706298295
2003-02-01,18446744073706211442
2003-03-01,18446744073705922630
2003-04-01,18446744073705259990
2003-05-01,18446744073705011717
2003-06-01,18446744073705207750
2003-07-01,18446744073704541815
2003-08-01,18446744073704750317
2003-09-01,18446744073703911830
2003-10-01,18446744073703824950
2003-11-01,18446744073703826141
2003-12-01,18446744073703034080
2004-01-01,18446744073704688063
2004-02-01,18446744073703669622
2004-03-01,18446744073701833130
2004-04-01,18446744073700401721
2004-05-01,18446744073701179436
2004-06-01,18446744073700626958
2004-07-01,18446744073701252018
2004-08-01,18446744073701465719
2004-09-01,18446744073701037075
2004-10-01,18446744073701681920
2004-11-01,18446744073701048329
2004-12-01,18446744073699543066
2005-01-01,18446744073700787119
2005-02-01,18446744073699219819
2005-03-01,18446744073696015190
2005-04-01,18446744073696357855
2005-05-01,18446744073697618061
2005-06-01,18446744073695067179
2005-07-01,18446744073697480818
2005-08-01,18446744073696205879
2005-09-01,18446744073696011593
2005-10-01,18446744073697123881
2005-11-01,18446744073697135896
2005-12-01,18446744073697959161
2006-01-01,18446744073700560987
2006-02-01,18446744073698263945
2006-03-01,18446744073695328667
2006-04-01,18446744073696694529
2006-05-01,18446744073695339147
2006-06-01,18446744073696682291
2006-07-01,18446744073698567030
2006-08-01,18446744073695731659
2006-09-01,18446744073695295720
2006-10-01,18446744073700000620
2006-11-01,18446744073697148580
2006-12-01,18446744073696873539
2007-01-01,18446744073699420157
2007-02-01,18446744073696189706
2007-03-01,18446744073693997089
2007-04-01,18446744073694734989
2007-05-01,18446744073694190101
2007-06-01,18446744073695440436
2007-07-01,18446744073695904420
2007-08-01,18446744073695155942
2007-09-01,18446744073694636162
2007-10-01,18446744073695435459
2007-11-01,18446744073695641103
2007-12-01,18446744073693092022
2008-01-01,18446744073693308650
2008-02-01,18446744073693198652
2008-03-01,18446744073691458026
2008-04-01,18446744073690499333
2008-05-01,18446744073687750582
2008-06-01,18446744073687508142
2008-07-01,18446744073688334319
2008-08-01,18446744073687310735
2008-09-01,18446744073687872377
2008-10-01,18446744073684308992
2008-11-01,18446744073689800049
2008-12-01,18446744073678478096
2009-01-01,18446744073682081204
2009-02-01,18446744073676847415
2009-03-01,18446744073670129318
2009-04-01,18446744073672276081
2009-05-01,18446744073668396635
2009-06-01,18446744073661233747
2009-07-01,18446744073661495423
2009-08-01,18446744073663153946
2009-09-01,18446744073657152717
2009-10-01,18446744073645517284
2009-11-01,18446744073651732438
2009-12-01,18446744073638466065
2010-01-01,18446744073650832814
2010-02-01,18446744073641515001
2010-03-01,18446744073609842634
2010-04-01,18446744073613846378
2010-05-01,18446744073616902629
2010-06-01,18446744073602784970
2010-07-01,18446744073614675604
2010-08-01,18446744073603058120
2010-09-01,18446744073590762288
2010-10-01,18446744073607056598
2010-11-01,18446744073608392537
2010-12-01,18446744073565847348
2011-01-01,18446744073573575394
2011-02-01,18446744073566350794
2011-03-01,18446744073525392147
2011-04-01,18446744073547546473
2011-05-01,18446744073555782658
2011-06-01,18446744073553668124
2011-07-01,18446744073566522918
2011-08-01,18446744073556343085
2011-09-01,18446744073565216036
2011-10-01,18446744073568848366
2011-11-01,18446744073561336972
2011-12-01,18446744073533851286
2012-01-01,18446744073550466320
2012-02-01,18446744073530129392
2012-03-01,18446744073508563291
2012-04-01,18446744073520472384
2012-05-01,18446744073500303388
2012-06-01,18446744073504034208
2012-07-01,18446744073515598076
2012-08-01,18446744073503285159
2012-09-01,18446744073534091751
2012-10-01,18446744073507177766
2012-11-01,18446744073530227179
2012-12-01,18446744073538619826
2013-01-01,18446744073535255793
2013-02-01,18446744073535187503
2013-03-01,18446744073497191486
2013-04-01,18446744073508438471
2013-05-01,18446744073499860671
2013-06-01,18446744073527120163
2013-07-01,18446744073525759229
2013-08-01,18446744073521512884
2013-09-01,18446744073543202828
2013-10-01,18446744073520180958
2013-11-01,18446744073534077755
2013-12-01,18446744073508768782
2014-01-01,18446744073497046839
2014-02-01,18446744073497906942
2014-03-01,18446744073470607602
2014-04-01,18446744073468319798
2014-05-01,18446744073467446393
2014-06-01,18446744073488554550
2014-07-01,18446744073489562392
2014-08-01,18446744073446330041
2014-09-01,18446744073517286503
2014-10-01,18446744073508276520
2014-11-01,18446744073556411562
2014-12-01,18446744073541615962
2015-01-01,18446744073556650157
2015-02-01,18446744073554976210
2015-03-01,18446744073498676512
2015-04-01,18446744073541780959
2015-05-01,18446744073391750611
2015-06-01,18446744073553014022
2015-07-01,18446744073550846336
2015-08-01,18446744073579976436
2015-09-01,18446744073460325610
2015-10-01,18446744073509230971
2015-11-01,18446744073584701196
2015-12-01,18446744073581227180
2016-01-01,18446744073589268794
2016-02-01,18446744073452540361
2016-03-01,18446744073573985710
2016-04-01,18446744073519586110
2016-05-01,18446744073486959884
2016-06-01,18446744073593497323
2016-07-01,18446744073610957548
2016-08-01,18446744073497353400
2016-09-01,18446744073627537983
2016-10-01,18446744073642077818
2016-11-01,18446744073632017205
2016-12-01,18446744073612274255
2017-01-01,18446744073638668426
2017-02-01,18446744073635862966
2017-03-01,18446744073621555931
2017-04-01,18446744073635688682
2017-05-01,18446744073567820101
2017-06-01,18446744073634014100
2017-07-01,18446744073644060254
2017-08-01,18446744073641125955
2017-09-01,18446744073648595591
2017-10-01,18446744073644371575
2017-11-01,18446744073648542953
2017-12-01,18446744073649594126
2018-01-01,18446744073647696651
2018-02-01,18446744073650629758
2018-03-01,18446744073651089302
2018-04-01,18446744073654266124
2018-05-01,18446744073639454804
2018-06-01,18446744073650342428
2018-07-01,18446744073662456412
2018-08-01,18446744073657553322
2018-09-01,18446744073668012148
2018-10-01,18446744073658504439
2018-11-01,18446744073664061927
2018-12-01,18446744073568001841
2019-01-01,18446744073663661356
2019-02-01,18446744073669043944
2019-03-01,18446744073661491462
2019-04-01,18446744073659636337
2019-05-01,18446744073660305854
2019-06-01,18446744073661684087
2019-07-01,18446744073623033451
2019-08-01,18446744073665914543
2019-09-01,18446744073671449069
2019-10-01,18446744073670244117
2019-11-01,18446744073671712819
2019-12-01,18446744073669928757
2020-01-01,18446744073604082373
2020-02-01,18446744073669507681
2020-03-01,18446744073676398578
2020-04-01,18446744073684863104
2020-05-01,18446744073687629866
2020-06-01,18446744073684158345
2020-07-01,18446744073685584275
2020-08-01,18446744073686335295
2020-09-01,18446744073689697405
2020-10-01,18446744073691151417
2020-11-01,18446744073695650919
2020-12-01,18446744073633510786
2021-01-01,18446744073696205593
2021-02-01,18446744073697823723
2021-03-01,18446744073694273900
2021-04-01,18446744073697243381
2021-05-01,18446744073696960588
2021-06-01,18446744073696704743
2021-07-01,18446744073699150266
2021-08-01,18446744073699029253
2021-09-01,18446744073689430017
2021-10-01,18446744073698226331
2021-11-01,18446744073700026524
2021-12-01,18446744073529242432
2022-01-01,18446744073695158785
2022-02-01,18446744073696919682
2022-03-01,18446744073697163670
2022-04-01,18446744073696849114
2022-05-01,18446744073695773836
2022-06-01,18446744073696284750
2022-07-01,18446744073698213654
2022-08-01,18446744073697949003
2022-09-01,18446744073698176839
2022-10-01,18446744073698653950
2022-11-01,18446744073699172752
2022-12-01,18446744073699724403
2023-01-01,18446744073693750204
2023-02-01,18446744073695837753
2023-03-01,18446744073686503352
2023-04-01,18446744073690794576
2023-05-01,18446744073692131581
2023-06-01,18446744073688966531
2023-07-01,18446744073689544633
2023-08-01,18446744073686002542
2023-09-01,18446744073687697032
2023-10-01,18446744073688666643
2023-11-01,18446744073563283399
2023-12-01,18446744073690486831
2024-01-01,18446744073687365771
2024-02-01,18446744073692295895
2024-03-01,18446744073688700147
2024-04-01,18446744073684889961
2024-05-01,18446744073686497164
2024-06-01,18446744073656816519
2024-07-01,18446744073690261433
2024-08-01,18446744073686402189
2024-09-01,18446744073694371027
2024-10-01,0
2024-11-01,0
2024-12-01,0
