card_network,customer_city,spend
MasterCard,Houston,17048006.820000034
MasterCard,New York,16895537.819999997
MasterCard,Rome,16875070.780000053
MasterCard,Chicago,16874133.330000028
MasterCard,Kolkata,16857890.70000001
MasterCard,Delhi,16834328.20999994
MasterCard,Mumbai,16760605.080000041
MasterCard,Berlin,16755647.499999987
MasterCard,Los Angeles,16722784.280000009
MasterCard,Vienna,16695427.080000022
MasterCard,Bangalore,16601983.970000027
MasterCard,Miami,16456982.079999961
MasterCard,Chennai,16442581.320000025
MasterCard,Paris,16399611.169999966
MasterCard,Madrid,16266477.659999909
