property_state,property_type,loan_count
,99,1
AK,SF,84855
AK,PU,10407
AK,CO,8660
AK,MH,104
AL,SF,374007
AL,PU,98651
AL,CO,13692
AL,MH,2273
AL,99,11
AR,SF,218285
AR,PU,49935
AR,CO,2479
AR,MH,1228
AZ,PU,640426
AZ,SF,616638
AZ,CO,61585
AZ,MH,21430
AZ,99,8
AZ,CP,5
CA,SF,4384578
CA,PU,811334
CA,CO,586450
CA,MH,20239
CA,CP,409
CA,99,18
CO,SF,695110
CO,PU,463723
CO,CO,99962
CO,MH,6283
CO,99,11
CO,CP,2
CT,SF,429661
CT,CO,55793
CT,PU,10114
CT,CP,275
CT,MH,43
CT,99,3
DC,SF,55754
DC,CO,33486
DC,PU,2406
DC,CP,1995
DC,MH,6
DC,99,1
DE,SF,104088
DE,PU,53278
DE,CO,14935
DE,MH,1091
DE,99,4
FL,SF,1433329
FL,PU,1018854
FL,CO,344466
FL,MH,17756
FL,CP,41
FL,99,31
GA,SF,883426
GA,PU,472785
GA,CO,55400
GA,MH,6795
GA,99,1
GU,SF,7328
GU,CO,403
GU,PU,314
GU,MH,1
HI,SF,63729
HI,CO,47513
HI,PU,26011
HI,MH,36
IA,SF,431844
IA,PU,30044
IA,CO,14824
IA,MH,1222
IA,CP,1
ID,SF,203725
ID,PU,98191
ID,MH,5441
ID,CO,4863
IL,SF,1808867
IL,CO,335685
IL,PU,273858
IL,MH,3141
IL,CP,366
IL,99,129
IN,SF,936106
IN,PU,206869
IN,CO,21083
IN,MH,10270
IN,99,9
IN,CP,1
KS,SF,306431
KS,PU,103537
KS,CO,3063
KS,MH,1780
KS,99,1
KY,SF,578169
KY,PU,66393
KY,CO,20426
KY,MH,4830
KY,99,8
LA,SF,306426
LA,PU,54254
LA,CO,8726
LA,MH,2445
LA,99,2
LA,CP,1
MA,SF,987996
MA,CO,173315
MA,PU,5400
MA,MH,208
MA,99,11
MA,CP,9
MD,SF,676380
MD,PU,300029
MD,CO,89505
MD,MH,750
MD,CP,603
MD,99,4
ME,SF,186857
ME,CO,10288
ME,PU,2835
ME,MH,1062
MI,SF,1613562
MI,CO,170072
MI,PU,56654
MI,MH,13403
MI,99,18
MI,CP,1
MN,SF,1150599
MN,PU,115913
MN,CO,61073
MN,MH,4040
MN,99,5
MO,SF,740962
MO,PU,271300
MO,CO,37998
MO,MH,4403
MO,CP,2
MO,99,1
MS,SF,124307
MS,PU,25109
MS,CO,1797
MS,MH,885
MS,CP,1
MT,SF,141203
MT,PU,19110
MT,CO,6337
MT,MH,2913
NC,SF,889881
NC,PU,514239
NC,CO,46157
NC,MH,16950
NC,99,8
ND,SF,90586
ND,CO,2886
ND,PU,2307
ND,MH,530
NE,SF,229305
NE,PU,45709
NE,CO,2623
NE,MH,533
NH,SF,242521
NH,CO,31780
NH,PU,6045
NH,MH,582
NH,99,2
NJ,SF,1033850
NJ,CO,175825
NJ,PU,99239
NJ,CP,2440
NJ,MH,161
NJ,99,14
NM,SF,185298
NM,PU,35749
NM,CO,5173
NM,MH,4423
NV,PU,233634
NV,SF,209996
NV,CO,26558
NV,MH,5799
NY,SF,1415504
NY,CO,99894
NY,CP,81675
NY,PU,37499
NY,MH,2683
NY,99,1480
OH,SF,1574951
OH,PU,187875
OH,CO,89221
OH,MH,6363
OH,99,13
OH,CP,1
OK,SF,262638
OK,PU,97337
OK,CO,3720
OK,MH,2014
OK,99,1
OR,SF,661423
OR,PU,120057
OR,CO,28776
OR,MH,16857
OR,99,2
PA,SF,1301613
PA,PU,195370
PA,CO,61902
PA,MH,3033
PA,CP,9
PA,99,4
PR,SF,51952
PR,CO,8847
PR,PU,140
PR,MH,17
PR,CP,1
RI,SF,142256
RI,CO,11607
RI,PU,835
RI,MH,41
RI,99,3
SC,SF,372687
SC,PU,259746
SC,CO,43669
SC,MH,7349
SC,99,4
SC,CP,1
SD,SF,99728
SD,PU,4435
SD,CO,934
SD,MH,862
TN,SF,594656
TN,PU,171204
TN,CO,22849
TN,MH,5096
TN,99,2
TN,CP,1
TX,SF,1385444
TX,PU,1328783
TX,CO,75553
TX,MH,9392
TX,99,18
TX,CP,2
UT,SF,519936
UT,PU,117789
UT,CO,34314
UT,MH,2886
UT,99,3
VA,SF,848150
VA,PU,433302
VA,CO,107571
VA,MH,3826
VA,CP,59
VA,99,8
VI,SF,1420
VI,CO,458
VI,PU,129
VT,SF,117141
VT,CO,12674
VT,PU,8009
VT,MH,1006
WA,SF,995929
WA,PU,251632
WA,CO,93150
WA,MH,21751
WA,CP,391
WA,99,1
WI,SF,1058940
WI,CO,55856
WI,PU,25681
WI,MH,4554
WI,99,13
WI,CP,1
WV,SF,118990
WV,PU,23180
WV,MH,1849
WV,CO,1089
WV,99,4
WY,SF,70606
WY,PU,6079
WY,MH,1778
WY,CO,1069
