monthly_reporting_period,risk_adjusted_yield
1999-04-01,7.38
1999-05-01,7.23
1999-06-01,7.24
1999-07-01,7.29
1999-08-01,7.34
1999-09-01,7.42
1999-10-01,7.5
1999-11-01,7.54
1999-12-01,7.6
2000-01-01,7.84
2000-02-01,7.66
2000-03-01,7.63
2000-04-01,7.66
2000-05-01,7.68
2000-06-01,7.66
2000-07-01,7.75
2000-08-01,7.86
2000-09-01,7.9
2000-10-01,7.96
2000-11-01,8.07
2000-12-01,8.1
2001-01-01,8.19
2001-02-01,8.19
2001-03-01,8.16
2001-04-01,8.11
2001-05-01,8.08
2001-06-01,8.03
2001-07-01,7.99
2001-08-01,7.97
2001-09-01,7.92
2001-10-01,7.81
2001-11-01,7.72
2001-12-01,7.7
2002-01-01,7.75
2002-02-01,7.73
2002-03-01,7.65
2002-04-01,7.61
2002-05-01,7.52
2002-06-01,7.44
2002-07-01,7.34
2002-08-01,7.24
2002-09-01,7.18
2002-10-01,7.11
2002-11-01,7.06
2002-12-01,7.05
2003-01-01,7.0
2003-02-01,6.94
2003-03-01,6.86
2003-04-01,6.76
2003-05-01,6.77
2003-06-01,6.59
2003-07-01,6.51
2003-08-01,6.57
2003-09-01,6.7
2003-10-01,6.74
2003-11-01,6.73
2003-12-01,6.68
2004-01-01,6.68
2004-02-01,6.52
2004-03-01,6.44
2004-04-01,6.3
2004-05-01,6.41
2004-06-01,6.43
2004-07-01,6.42
2004-08-01,6.36
2004-09-01,6.36
2004-10-01,6.31
2004-11-01,6.27
2004-12-01,6.29
2005-01-01,6.32
2005-02-01,6.33
2005-03-01,6.31
2005-04-01,6.32
2005-05-01,6.23
2005-06-01,6.19
2005-07-01,6.16
2005-08-01,6.15
2005-09-01,6.2
2005-10-01,6.19
2005-11-01,6.21
2005-12-01,6.21
2006-01-01,6.25
2006-02-01,6.3
2006-03-01,6.29
2006-04-01,6.21
2006-05-01,6.22
2006-06-01,6.19
2006-07-01,6.22
2006-08-01,6.22
2006-09-01,6.36
2006-10-01,6.24
2006-11-01,6.33
2006-12-01,6.23
2007-01-01,6.23
2007-02-01,6.35
2007-03-01,6.36
2007-04-01,6.32
2007-05-01,6.26
2007-06-01,6.24
2007-07-01,6.26
2007-08-01,6.37
2007-09-01,6.51
2007-10-01,6.44
2007-11-01,6.53
2007-12-01,6.58
2008-01-01,6.6
2008-02-01,6.41
2008-03-01,6.44
2008-04-01,6.48
2008-05-01,6.57
2008-06-01,6.63
2008-07-01,6.65
2008-08-01,6.86
2008-09-01,6.87
2008-10-01,6.89
2008-11-01,7.09
2008-12-01,7.17
2009-01-01,6.56
2009-02-01,6.45
2009-03-01,6.48
2009-04-01,6.48
2009-05-01,6.47
2009-06-01,6.58
2009-07-01,6.75
2009-08-01,7.03
2009-09-01,7.33
2009-10-01,7.34
2009-11-01,7.0
2009-12-01,7.05
2010-01-01,7.27
2010-02-01,7.79
2010-03-01,8.0
2010-04-01,7.95
2010-05-01,8.06
2010-06-01,7.95
2010-07-01,7.51
2010-08-01,7.13
2010-09-01,7.05
2010-10-01,6.76
2010-11-01,6.66
2010-12-01,7.06
2011-01-01,7.64
2011-02-01,8.43
2011-03-01,9.28
2011-04-01,9.36
2011-05-01,9.3
2011-06-01,8.71
2011-07-01,8.47
2011-08-01,8.1
2011-09-01,7.33
2011-10-01,6.91
2011-11-01,6.89
2011-12-01,7.36
2012-01-01,7.42
2012-02-01,7.27
2012-03-01,7.25
2012-04-01,7.32
2012-05-01,7.39
2012-06-01,7.36
2012-07-01,7.07
2012-08-01,6.94
2012-09-01,6.78
2012-10-01,6.78
2012-11-01,6.64
2012-12-01,6.5
2013-01-01,6.53
2013-02-01,6.72
2013-03-01,6.88
2013-04-01,6.78
2013-05-01,6.71
2013-06-01,6.62
2013-07-01,6.66
2013-08-01,7.09
2013-09-01,7.36
2013-10-01,7.73
2013-11-01,7.86
2013-12-01,7.91
2014-01-01,8.64
2014-02-01,8.93
2014-03-01,8.4
