property_state,avg_loan_age
PR,103.79
GU,98.22
NY,67.49
WV,62.67
PA,60.63
NM,60.33
HI,60.31
VT,60.08
CT,59.26
OK,58.96
AK,58.4
AL,58.31
GA,58.26
OH,58.1
LA,58.04
DE,58.04
MS,57.78
NC,57.61
ND,57.52
SC,57.5
AR,57.42
VI,57.3
ME,57.21
IN,56.9
MN,56.7
KY,56.6
MD,56.26
MI,56.16
FL,56.14
VA,55.98
KS,55.88
NJ,55.85
RI,55.35
IA,55.34
TX,55.18
MT,54.17
NH,54.07
TN,53.65
NE,53.64
DC,53.64
OR,53.47
IL,53.15
MO,52.88
SD,52.13
WY,52.11
ID,51.8
MA,51.57
WA,51.52
NV,50.83
WI,50.55
CA,49.25
AZ,48.85
CO,46.6
UT,46.14
,1.0
