customer_id,txn_hour,txn_count
CUST1000,0,2
CUST1000,20,1
CUST1000,5,1
CUST1000,1,1
CUST1000,10,1
CUST1000,17,1
CUST1000,15,1
CUST1000,2,1
CUST1001,9,2
CUST1001,1,2
CUST1001,20,1
CUST1001,23,1
CUST1001,4,1
CUST1001,7,1
CUST1001,16,1
CUST1001,12,1
CUST1001,10,1
CUST1001,11,1
CUST1001,8,1
CUST1001,3,1
CUST1002,9,2
CUST1002,16,2
CUST1002,3,1
CUST1002,21,1
CUST1002,12,1
CUST1002,13,1
CUST1002,20,1
CUST1002,4,1
CUST1002,6,1
CUST1002,7,1
CUST1002,8,1
CUST1003,14,3
CUST1003,23,1
CUST1003,20,1
CUST1003,15,1
CUST1003,6,1
CUST1003,9,1
CUST1003,8,1
CUST1004,8,2
CUST1004,10,2
CUST1004,3,2
CUST1004,18,1
CUST1004,17,1
CUST1004,5,1
CUST1004,0,1
CUST1004,22,1
CUST1005,0,2
CUST1005,6,1
CUST1005,14,1
CUST1005,23,1
CUST1005,4,1
CUST1005,12,1
CUST1006,6,2
CUST1006,5,1
CUST1006,8,1
CUST1006,3,1
CUST1006,2,1
CUST1006,12,1
CUST1006,9,1
CUST1006,21,1
CUST1007,11,2
CUST1007,7,2
CUST1007,0,2
CUST1007,22,2
CUST1007,9,2
CUST1007,6,1
CUST1007,10,1
CUST1007,16,1
CUST1007,4,1
CUST1007,1,1
CUST1007,2,1
CUST1008,6,2
CUST1008,22,1
CUST1008,18,1
CUST1008,10,1
CUST1009,10,2
CUST1009,14,2
CUST1009,22,1
CUST1009,5,1
CUST1009,13,1
CUST1009,11,1
CUST1009,18,1
CUST1009,19,1
CUST1010,15,3
CUST1010,7,2
CUST1010,4,2
CUST1010,12,1
CUST1010,5,1
CUST1010,16,1
CUST1010,9,1
CUST1010,23,1
CUST1010,11,1
CUST1011,1,2
CUST1011,13,2
CUST1011,5,2
CUST1011,7,2
CUST1011,21,1
CUST1011,18,1
CUST1011,6,1
CUST1011,3,1
CUST1012,0,2
CUST1012,20,1
CUST1012,17,1
CUST1012,7,1
CUST1012,3,1
CUST1012,11,1
CUST1012,9,1
CUST1012,14,1
CUST1013,18,2
CUST1013,19,2
CUST1013,17,2
CUST1013,8,2
CUST1013,1,1
CUST1013,20,1
CUST1013,11,1
CUST1013,23,1
CUST1013,0,1
CUST1013,12,1
CUST1013,5,1
CUST1014,14,2
CUST1014,12,2
CUST1014,11,2
CUST1014,19,1
CUST1014,2,1
CUST1014,1,1
CUST1014,17,1
CUST1014,22,1
CUST1014,23,1
CUST1014,15,1
CUST1014,3,1
CUST1014,8,1
CUST1015,16,2
CUST1015,20,2
CUST1015,17,1
CUST1015,22,1
CUST1016,16,1
CUST1016,4,1
CUST1016,9,1
CUST1016,18,1
CUST1016,1,1
CUST1016,17,1
CUST1016,14,1
CUST1016,19,1
CUST1016,21,1
CUST1017,8,2
CUST1017,11,2
CUST1017,4,1
CUST1017,10,1
CUST1017,1,1
CUST1017,21,1
CUST1017,2,1
CUST1017,20,1
CUST1018,12,2
CUST1018,19,2
CUST1018,3,1
CUST1018,0,1
CUST1018,23,1
CUST1018,15,1
CUST1018,18,1
CUST1018,21,1
CUST1018,13,1
CUST1018,6,1
CUST1018,11,1
CUST1019,22,3
CUST1019,1,2
CUST1019,3,1
CUST1019,4,1
CUST1019,8,1
CUST1020,12,2
CUST1020,18,2
CUST1020,16,2
CUST1020,23,2
CUST1020,19,1
CUST1020,13,1
CUST1020,20,1
CUST1020,2,1
CUST1020,3,1
CUST1021,2,1
CUST1021,12,1
CUST1021,1,1
CUST1021,4,1
CUST1021,8,1
CUST1021,7,1
CUST1021,6,1
CUST1021,19,1
CUST1021,9,1
CUST1021,17,1
CUST1022,20,3
CUST1022,15,1
CUST1022,21,1
CUST1022,12,1
CUST1022,16,1
CUST1022,5,1
CUST1022,10,1
CUST1022,18,1
CUST1022,14,1
CUST1023,19,3
CUST1023,5,2
CUST1023,23,2
CUST1023,2,1
CUST1023,15,1
CUST1023,10,1
CUST1023,7,1
CUST1023,6,1
CUST1023,16,1
CUST1023,3,1
CUST1024,19,2
CUST1024,10,1
CUST1024,7,1
CUST1024,8,1
CUST1024,0,1
CUST1024,23,1
CUST1024,15,1
CUST1024,14,1
CUST1025,20,2
CUST1025,8,2
CUST1025,19,1
CUST1025,7,1
CUST1025,13,1
CUST1025,15,1
CUST1025,11,1
CUST1025,18,1
CUST1025,17,1
CUST1025,14,1
CUST1025,21,1
CUST1025,0,1
CUST1026,19,3
CUST1026,9,2
CUST1026,16,2
CUST1026,5,2
CUST1026,18,1
CUST1026,15,1
CUST1026,17,1
CUST1026,23,1
CUST1026,22,1
CUST1026,8,1
CUST1026,13,1
CUST1026,6,1
CUST1027,6,3
CUST1027,14,2
CUST1027,19,1
CUST1027,16,1
CUST1027,9,1
CUST1027,10,1
CUST1027,4,1
CUST1027,2,1
CUST1027,18,1
CUST1027,0,1
CUST1027,13,1
CUST1027,3,1
CUST1027,7,1
CUST1027,21,1
CUST1027,20,1
CUST1028,3,3
CUST1028,19,3
CUST1028,15,2
CUST1028,9,2
CUST1028,14,1
CUST1028,2,1
CUST1028,1,1
CUST1028,0,1
CUST1028,11,1
CUST1028,22,1
CUST1028,20,1
CUST1028,13,1
CUST1029,3,2
CUST1029,23,2
CUST1029,12,2
CUST1029,10,2
CUST1029,14,1
CUST1029,20,1
CUST1029,8,1
