customer_id,merchant_category_code,txn_count
CUST1000,5411,3
CUST1000,5732,3
CUST1000,5812,3
CUST1001,5812,6
CUST1001,5411,4
CUST1001,5999,2
CUST1001,5732,2
CUST1002,5411,6
CUST1002,5732,4
CUST1002,5999,2
CUST1002,5812,1
CUST1003,5812,3
CUST1003,5999,2
CUST1003,5732,2
CUST1003,5411,2
CUST1004,5812,4
CUST1004,5999,3
CUST1004,5732,2
CUST1004,5411,2
CUST1005,5732,4
CUST1005,5999,2
CUST1005,5411,1
CUST1006,5732,4
CUST1006,5812,2
CUST1006,5999,2
CUST1006,5411,1
CUST1007,5812,8
CUST1007,5411,3
CUST1007,5732,3
CUST1007,5999,2
CUST1008,5732,2
CUST1008,5812,2
CUST1008,5411,1
CUST1009,5999,4
CUST1009,5732,2
CUST1009,5812,2
CUST1009,5411,2
CUST1010,5411,6
CUST1010,5812,3
CUST1010,5999,3
CUST1010,5732,1
CUST1011,5999,5
CUST1011,5732,4
CUST1011,5812,2
CUST1011,5411,1
CUST1012,5732,4
CUST1012,5999,2
CUST1012,5411,2
CUST1012,5812,1
CUST1013,5812,5
CUST1013,5732,5
CUST1013,5999,3
CUST1013,5411,2
CUST1014,5812,6
CUST1014,5999,4
CUST1014,5732,3
CUST1014,5411,2
CUST1015,5732,2
CUST1015,5411,2
CUST1015,5812,1
CUST1015,5999,1
CUST1016,5411,3
CUST1016,5812,3
CUST1016,5732,2
CUST1016,5999,1
CUST1017,5999,4
CUST1017,5812,3
CUST1017,5411,2
CUST1017,5732,1
CUST1018,5411,6
CUST1018,5999,4
CUST1018,5812,2
CUST1018,5732,1
CUST1019,5732,4
CUST1019,5411,3
CUST1019,5812,1
CUST1020,5812,6
CUST1020,5999,3
CUST1020,5732,2
CUST1020,5411,2
CUST1021,5732,3
CUST1021,5999,3
CUST1021,5411,2
CUST1021,5812,2
CUST1022,5411,4
CUST1022,5812,3
CUST1022,5999,2
CUST1022,5732,2
CUST1023,5999,6
CUST1023,5732,4
CUST1023,5411,3
CUST1023,5812,1
CUST1024,5999,4
CUST1024,5732,3
CUST1024,5812,2
CUST1025,5732,6
CUST1025,5411,5
CUST1025,5999,2
CUST1025,5812,1
CUST1026,5999,5
CUST1026,5812,5
CUST1026,5732,4
CUST1026,5411,3
CUST1027,5812,7
CUST1027,5732,6
CUST1027,5411,3
CUST1027,5999,2
CUST1028,5812,8
CUST1028,5411,4
CUST1028,5732,3
CUST1028,5999,3
CUST1029,5999,4
CUST1029,5732,4
CUST1029,5812,3
CUST1029,5411,2
CUST1030,5411,5
CUST1030,5999,4
CUST1030,5732,3
CUST1030,5812,3
CUST1031,5411,4
CUST1031,5732,1
CUST1031,5812,1
CUST1032,5411,5
CUST1032,5732,3
CUST1032,5999,3
CUST1032,5812,2
CUST1033,5999,6
CUST1033,5411,3
CUST1033,5732,2
CUST1033,5812,2
CUST1034,5411,6
CUST1034,5999,4
CUST1034,5812,3
CUST1034,5732,1
CUST1035,5411,4
CUST1035,5999,4
CUST1035,5812,3
CUST1035,5732,2
CUST1036,5812,4
CUST1036,5732,3
CUST1036,5411,2
CUST1037,5411,4
CUST1037,5999,4
CUST1037,5812,1
CUST1037,5732,1
CUST1038,5732,4
CUST1038,5999,4
CUST1038,5812,2
CUST1038,5411,1
CUST1039,5411,6
CUST1039,5999,3
CUST1039,5812,2
CUST1039,5732,1
CUST1040,5411,8
CUST1040,5812,5
CUST1040,5732,3
CUST1041,5732,5
CUST1041,5812,3
CUST1041,5999,1
CUST1042,5732,5
CUST1042,5999,4
CUST1042,5812,3
CUST1042,5411,3
CUST1043,5732,4
CUST1043,5999,3
CUST1043,5812,3
CUST1044,5812,6
CUST1044,5411,3
CUST1044,5732,3
CUST1045,5999,6
CUST1045,5411,2
CUST1045,5732,1
CUST1046,5411,4
CUST1046,5999,2
CUST1046,5732,1
CUST1046,5812,1
CUST1047,5732,3
CUST1047,5411,1
CUST1047,5812,1
CUST1048,5999,5
CUST1048,5812,4
CUST1048,5411,4
CUST1048,5732,2
CUST1049,5411,4
CUST1049,5999,2
CUST1049,5732,1
CUST1049,5812,1
CUST1050,5999,5
CUST1050,5411,3
CUST1050,5732,2
CUST1050,5812,2
CUST1051,5411,3
CUST1051,5999,3
CUST1051,5732,2
CUST1051,5812,1
CUST1052,5732,4
CUST1052,5999,3
CUST1052,5812,2
CUST1053,5812,6
CUST1053,5411,5
CUST1053,5999,3
CUST1053,5732,1
CUST1054,5999,5
CUST1054,5732,1
CUST1054,5812,1
CUST1055,5812,7
CUST1055,5732,5
CUST1055,5999,3
CUST1055,5411,2
CUST1056,5732,3
CUST1056,5999,2
CUST1056,5812,1
CUST1057,5999,4
CUST1057,5732,3
CUST1057,5812,3
CUST1057,5411,3
CUST1058,5732,6
CUST1058,5411,4
CUST1058,5812,2
CUST1058,5999,1
CUST1059,5999,4
CUST1059,5411,3
CUST1059,5732,2
CUST1059,5812,2
CUST1060,5812,8
CUST1060,5732,3
CUST1060,5999,2
CUST1061,5812,5
CUST1061,5732,4
CUST1061,5999,3
