merchant_name,month,monthly_spend
Johnson Inc,2024-11-01,32240.710000000003
Smith Inc,2024-11-01,31527.519999999997
Smith LLC,2024-11-01,27329.36
Smith PLC,2024-11-01,27135.85
Williams Group,2024-11-01,24441.870000000003
Smith and Sons,2024-11-01,24380.51
Garcia Inc,2024-11-01,23037.13
Miller Ltd,2024-11-01,22900.530000000002
Williams LLC,2024-11-01,22823.280000000002
Jones PLC,2024-11-01,21894.0
Davis Group,2024-11-01,21376.9
Johnson and Sons,2024-11-01,21103.969999999998
Martinez Inc,2024-11-01,20997.32
Brown LLC,2024-11-01,20096.13
Smith Ltd,2024-11-01,19847.78
Moore Group,2024-11-01,19356.61
Williams PLC,2024-11-01,19069.69
Phillips Inc,2024-11-01,17672.6
Martinez LLC,2024-11-01,17580.24
Jones LLC,2024-11-01,16876.82
Williams Inc,2024-11-01,16711.829999999998
Brown Inc,2024-11-01,16702.059999999998
Moore Ltd,2024-11-01,16044.07
Williams Ltd,2024-11-01,15875.940000000002
Thomas Inc,2024-11-01,15547.79
Thomas Group,2024-11-01,15478.59
Johnson PLC,2024-11-01,15300.749999999998
Wilson Inc,2024-11-01,15197.079999999998
Brooks Inc,2024-11-01,15114.949999999999
Jones and Sons,2024-11-01,15102.789999999999
Smith Group,2024-11-01,14968.189999999999
Rodriguez LLC,2024-11-01,14913.2
Garcia PLC,2024-11-01,14532.07
Garcia LLC,2024-11-01,14524.11
Jackson Inc,2024-11-01,14092.119999999999
Davis LLC,2024-11-01,13946.08
Moore LLC,2024-11-01,13784.630000000001
Rodriguez Group,2024-11-01,13685.2
Rodriguez and Sons,2024-11-01,13488.57
King LLC,2024-11-01,13429.32
Johnson Group,2024-11-01,13364.29
Garcia Group,2024-11-01,13357.650000000001
White Group,2024-11-01,13306.619999999999
Harris LLC,2024-11-01,12774.060000000001
Sparks and Sons,2024-11-01,12503.41
Wilson LLC,2024-11-01,12445.34
Davis Ltd,2024-11-01,12426.01
Miller LLC,2024-11-01,12385.36
Wright PLC,2024-11-01,12367.9
Rivera Group,2024-11-01,12102.22
Hill Ltd,2024-11-01,12016.68
Anderson Inc,2024-11-01,11944.64
Jackson Group,2024-11-01,11866.86
Martinez Group,2024-11-01,11803.5
Thompson Ltd,2024-11-01,11769.78
Carroll PLC,2024-11-01,11594.43
Davis PLC,2024-11-01,11348.09
Sanchez Group,2024-11-01,11343.84
Williams and Sons,2024-11-01,11300.270000000002
Hall Inc,2024-11-01,11214.56
Peterson and Sons,2024-11-01,11074.33
Lynch Inc,2024-11-01,11060.94
Taylor Group,2024-11-01,10833.859999999999
Wilson Ltd,2024-11-01,10782.819999999998
Garcia Ltd,2024-11-01,10672.34
Bailey and Sons,2024-11-01,10535.720000000001
Rose and Sons,2024-11-01,10471.45
Lewis and Sons,2024-11-01,10463.59
White PLC,2024-11-01,10460.01
Owens LLC,2024-11-01,10444.29
Hernandez PLC,2024-11-01,10423.619999999999
