first_payment_year,total_original_upb
1999,69585247000
2000,83668568000
2001,273865361000
2002,422495531000
2003,620188702000
2004,262461809000
2005,272422286000
2006,216557232000
2007,225740480000
2008,260119114000
2009,443049134000
2010,358187941000
2011,305252194000
2012,401565721000
2013,413180370000
2014,235191310000
2015,326631362000
2016,372065027000
2017,341088758000
2018,309947587000
2019,409168076000
2020,975297016000
2021,1272228097000
2022,588468258000
2023,293781871000
2024,298802898000
2025,22744000
