first_payment_year,avg_dti_ratio
1999,64.80731000785846
2000,56.02094687614027
2001,55.17964230126865
2002,51.21760423889614
2003,48.17637040300488
2004,51.394920518911015
2005,64.39426156878359
2006,58.675700994671374
2007,57.11170117265338
2008,59.55534618667237
2009,100.56262790174631
2010,302.6645879376577
2011,340.952547897733
2012,364.5295824403497
2013,328.86894176596394
2014,187.05317929683054
2015,120.43083952387114
2016,84.65645335646855
2017,71.07647350119447
2018,48.16404535148758
2019,36.84511223418952
2020,33.36778264483257
2021,33.73027038389006
2022,36.302499835328746
2023,38.13103448275862
2024,37.99505106311736
2025,32.63013698630137
