first_payment_year,avg_mi_pct
1999,5.981715116183486
2000,6.261457253631795
2001,4.23614519598226
2002,3.180560594821516
2003,2.404060560233125
2004,3.2555680265894043
2005,2.980055369415302
2006,3.2101417250031945
2007,4.511392007600308
2008,4.707694964768716
2009,1.6509444959020656
2010,1.6145920218683596
2011,2.054991837390871
2012,2.9505904805621634
2013,3.8848293308890924
2014,6.424660604140952
2015,5.855569635591776
2016,6.202756639551424
2017,6.864474214069209
2018,8.101274550836001
2019,8.221907999806717
2020,5.488827740379638
2021,4.8570856638853765
2022,6.8748915809496225
2023,10.352098673740054
2024,9.641766839667392
2025,2.863013698630137
