first_payment_year,interest_only_count,total_count,interest_only_ratio
1999,0,608262,0E-16
2000,0,687883,0E-16
2001,0,2005207,0E-16
2002,0,2976624,0E-16
2003,0,4296747,0E-16
2004,0,1723995,0E-16
2005,0,1614971,0E-16
2006,0,1228647,0E-16
2007,0,1242055,0E-16
2008,0,1291182,0E-16
2009,0,2067505,0E-16
2010,0,1738402,0E-16
2011,0,1486657,0E-16
2012,0,1934526,0E-16
2013,0,2045625,0E-16
2014,0,1133411,0E-16
2015,0,1460697,0E-16
2016,0,1592954,0E-16
2017,0,1470104,0E-16
2018,0,1328468,0E-16
2019,0,1614214,0E-16
2020,0,3419362,0E-16
2021,0,4391127,0E-16
2022,0,1988811,0E-16
2023,0,942500,0E-16
2024,0,895950,0E-16
2025,0,73,0E-16
