property_state,loan_count
AZ,1340092
SC,683456
LA,371854
MN,1331630
NJ,1311529
DC,93648
OR,827115
VA,1392916
RI,154742
KY,669826
WY,79532
NH,280930
MI,1853710
NV,475987
WI,1145045
ID,312220
CA,5803028
NE,278170
CT,495889
MT,169563
NC,1467235
VT,138830
MD,1067271
DE,173396
MO,1054666
VI,2007
IL,2422046
ME,201042
GU,8046
WA,1362854
ND,96309
MS,152099
AL,488634
IN,1174339
OH,1858424
TN,793808
IA,477935
NM,230643
PA,1561931
SD,105959
NY,1638735
TX,2799192
WV,145112
GA,1418407
MA,1166939
KS,414812
FL,2814477
CO,1265091
AK,104026
AR,271927
OK,365710
PR,60957
UT,674928
HI,137289
