first_payment_year,avg_credit_score
1999,791.0932673749141
2000,854.7416435643852
2001,772.4966115717729
2002,764.8795769972962
2003,784.794176152331
2004,732.6297419656089
2005,731.6796735049732
2006,730.3992855555746
2007,732.7498838618258
2008,744.3449443997825
2009,761.7643497839183
2010,760.2690246559772
2011,760.497330588024
2012,760.625560990134
2013,753.2784796822488
2014,747.5860557202992
2015,750.4285262446626
2016,749.2609748931859
2017,746.7420896752883
2018,747.8677973425027
2019,753.9579547693181
2020,759.9822197825208
2021,754.4611228506941
2022,745.5666285031609
2023,752.0630472148541
2024,754.9524147552877
2025,758.5205479452055
