original_ltv,count
80,8932879
95,3247289
75,2412333
90,2018801
70,1445069
79,994585
60,959362
74,875322
78,847079
69,796492
73,777615
85,756884
77,749348
72,740698
68,719201
65,708684
67,700569
97,634218
66,629698
71,623603
76,619509
64,609616
59,586633
63,567980
62,532360
50,528639
58,527237
56,523428
57,507028
55,494317
54,465368
53,444416
61,443269
52,440598
49,377999
48,377117
51,369673
47,353907
46,336509
45,331046
44,316349
43,302387
89,295483
40,293999
42,290456
88,277231
84,254018
41,249906
39,248133
38,246258
87,240979
37,223128
36,216809
94,216398
93,215329
83,210726
35,210020
92,208764
34,198691
86,191405
33,179869
32,176250
30,160645
82,160389
31,156744
28,142827
100,141452
91,136136
29,135556
27,122632
25,111600
26,108004
81,105866
24,98994
23,87338
22,80134
20,69562
21,67495
19,56539
18,50078
96,45414
17,43173
105,37906
16,37503
99,34818
98,32455
15,32107
101,29250
102,28558
103,28077
104,27332
14,26559
13,21292
12,17552
125,16052
108,15821
109,15552
107,15331
110,15120
112,14490
111,14460
106,14258
113,13592
114,13489
115,13330
11,12888
116,12758
117,12251
118,11948
119,11219
120,11038
121,10706
10,10608
122,10297
124,9923
123,9874
9,7426
8,6198
128,5476
129,5353
127,5271
130,5179
132,4958
131,4936
126,4910
133,4720
134,4633
135,4533
136,4229
137,4086
138,3906
139,3867
140,3811
7,3761
141,3719
142,3541
143,3424
144,3332
145,3076
146,3068
147,3019
148,2891
149,2811
150,2782
151,2603
152,2418
153,2327
6,2302
154,2232
156,2161
155,2115
158,2006
157,1993
160,1880
159,1874
999,1820
161,1786
162,1726
163,1623
164,1591
165,1533
166,1502
167,1501
168,1452
169,1330
170,1280
171,1246
172,1242
173,1150
174,1130
175,1111
176,1022
177,1011
178,968
179,956
180,883
181,855
183,852
184,810
182,797
185,750
187,710
186,707
188,668
189,651
190,648
192,594
191,585
194,570
193,557
195,542
197,524
196,504
200,503
198,477
5,471
199,470
202,426
201,409
204,384
203,371
205,362
207,354
209,345
206,328
208,324
210,305
211,299
212,285
214,284
215,274
216,263
213,263
217,262
220,254
218,238
4,233
221,220
219,218
222,212
224,206
228,199
223,197
225,176
226,166
227,158
235,156
230,154
231,146
229,146
233,142
234,141
232,140
237,139
238,136
236,123
242,118
240,115
241,111
250,104
243,102
239,100
245,99
244,98
246,95
248,93
249,92
254,91
247,86
259,85
252,82
251,81
257,77
3,75
262,73
268,69
256,69
255,68
261,67
253,60
266,60
258,59
264,56
260,55
269,53
274,51
263,46
270,45
265,43
272,43
280,42
267,42
271,40
273,40
276,38
275,38
288,35
283,33
290,30
277,30
284,30
292,29
287,29
300,27
282,27
279,24
286,24
303,24
294,24
291,23
278,23
301,23
302,23
295,22
293,22
296,21
298,21
281,21
308,20
309,20
289,20
297,19
2,19
285,18
312,18
305,17
306,17
299,17
310,17
316,16
317,16
318,15
314,15
304,15
321,14
332,13
319,13
322,12
325,12
327,12
307,12
331,12
313,12
336,11
363,11
347,11
358,11
311,11
315,11
324,10
320,10
349,10
350,9
367,9
1,9
339,9
326,9
356,9
337,9
357,9
384,8
346,8
328,8
377,8
374,8
364,8
338,8
368,7
329,7
330,7
353,7
386,7
340,7
366,7
383,7
343,7
389,7
351,7
323,7
352,7
335,7
354,7
463,6
375,6
388,6
360,6
355,6
440,6
400,6
404,6
414,6
341,6
334,6
369,6
344,6
342,6
405,6
472,5
362,5
385,5
429,5
428,5
403,5
345,5
420,5
401,5
458,4
412,4
663,4
333,4
359,4
397,4
387,4
494,4
449,4
434,4
371,4
376,4
378,4
370,4
373,4
379,4
365,4
399,4
393,4
392,3
406,3
435,3
348,3
432,3
452,3
486,3
450,3
514,3
465,3
395,3
394,3
390,3
382,3
433,3
487,3
413,3
454,3
422,3
381,3
471,2
540,2
587,2
460,2
417,2
372,2
556,2
442,2
470,2
402,2
647,2
491,2
430,2
419,2
553,2
489,2
502,2
462,2
552,2
503,2
437,2
453,2
443,2
509,2
459,2
361,2
518,2
427,2
408,2
480,2
411,2
482,2
464,2
534,2
536,2
726,2
421,2
508,2
424,2
522,2
475,2
483,2
468,2
407,2
451,2
512,2
398,2
589,2
588,1
481,1
513,1
633,1
530,1
772,1
497,1
602,1
707,1
685,1
476,1
539,1
654,1
416,1
444,1
671,1
618,1
473,1
774,1
660,1
704,1
674,1
474,1
980,1
570,1
545,1
544,1
507,1
560,1
542,1
415,1
641,1
579,1
504,1
484,1
607,1
511,1
929,1
775,1
461,1
609,1
505,1
423,1
695,1
761,1
610,1
485,1
568,1
456,1
441,1
495,1
380,1
958,1
728,1
585,1
439,1
391,1
532,1
467,1
533,1
661,1
771,1
569,1
418,1
396,1
740,1
528,1
526,1
714,1
490,1
767,1
469,1
457,1
978,1
943,1
515,1
478,1
612,1
561,1
525,1
546,1
638,1
466,1
566,1
773,1
573,1
652,1
557,1
682,1
700,1
915,1
681,1
628,1
410,1
551,1
701,1
496,1
683,1
725,1
603,1
538,1
746,1
739,1
445,1
684,1
565,1
448,1
510,1
809,1
749,1
949,1
582,1
637,1
611,1
541,1
