property_state,total_origination_volume
CA,1748083523000
TX,584064697000
FL,558696354000
IL,461626718000
NY,387006436000
WA,353430174000
VA,342227770000
NJ,331225531000
CO,316451990000
MA,310280455000
MI,291450382000
PA,286667698000
NC,285404527000
OH,282777843000
AZ,281271031000
GA,279839369000
MD,263608311000
MN,250615652000
WI,187920778000
OR,187365110000
IN,171347462000
MO,170496324000
UT,160866390000
TN,153316055000
SC,127600529000
CT,110861131000
NV,103017589000
KY,100615735000
AL,85594946000
IA,69675728000
LA,67564182000
KS,66254659000
ID,60999995000
NH,58451024000
OK,57740543000
HI,47991998000
AR,43954209000
NE,42305062000
NM,41211479000
ME,37476971000
DE,37111482000
MT,32682410000
RI,32490002000
DC,32306482000
MS,24892212000
VT,24352259000
AK,22675201000
WV,20983051000
SD,17032809000
ND,16068514000
WY,14637211000
PR,6196614000
GU,1566174000
VI,681871000
