monthly_reporting_period,total_deferred_upb
1999-04-01,0
1999-05-01,0
1999-06-01,0
1999-07-01,0
1999-08-01,0
1999-09-01,0
1999-10-01,0
1999-11-01,0
1999-12-01,0
2000-01-01,0
2000-02-01,0
2000-03-01,0
2000-04-01,0
2000-05-01,0
2000-06-01,0
2000-07-01,0
2000-08-01,0
2000-09-01,0
2000-10-01,0
2000-11-01,0
2000-12-01,0
2001-01-01,0
2001-02-01,0
2001-03-01,0
2001-04-01,0
2001-05-01,0
2001-06-01,0
2001-07-01,0
2001-08-01,0
2001-09-01,0
2001-10-01,0
2001-11-01,0
2001-12-01,0
2002-01-01,0
2002-02-01,0
2002-03-01,0
2002-04-01,0
2002-05-01,0
2002-06-01,0
2002-07-01,0
2002-08-01,0
2002-09-01,0
2002-10-01,0
2002-11-01,0
2002-12-01,0
2003-01-01,0
2003-02-01,0
2003-03-01,0
2003-04-01,0
2003-05-01,0
2003-06-01,0
2003-07-01,0
2003-08-01,0
2003-09-01,0
2003-10-01,0
2003-11-01,0
2003-12-01,0
2004-01-01,0
2004-02-01,0
2004-03-01,0
2004-04-01,0
2004-05-01,0
2004-06-01,0
2004-07-01,0
2004-08-01,0
2004-09-01,0
2004-10-01,0
2004-11-01,0
2004-12-01,0
2005-01-01,0
2005-02-01,0
2005-03-01,0
2005-04-01,0
2005-05-01,0
2005-06-01,0
2005-07-01,0
2005-08-01,0
2005-09-01,0
2005-10-01,0
2005-11-01,0
2005-12-01,0
2006-01-01,0
2006-02-01,0
2006-03-01,0
2006-04-01,0
2006-05-01,0
2006-06-01,0
2006-07-01,0
2006-08-01,0
2006-09-01,0
2006-10-01,0
2006-11-01,0
2006-12-01,0
2007-01-01,0
2007-02-01,0
2007-03-01,0
2007-04-01,0
2007-05-01,0
2007-06-01,0
2007-07-01,0
2007-08-01,0
2007-09-01,0
2007-10-01,0
2007-11-01,0
2007-12-01,0
2008-01-01,0
2008-02-01,0
2008-03-01,0
2008-04-01,0
2008-05-01,0
2008-06-01,0
2008-07-01,0
2008-08-01,0
2008-09-01,0
2008-10-01,0
2008-11-01,0
2008-12-01,0
2009-01-01,0
2009-02-01,0
2009-03-01,0
2009-04-01,0
2009-05-01,0
2009-06-01,0
2009-07-01,224500
2009-08-01,244900
2009-09-01,1008749.56
2009-10-01,6260953.65
2009-11-01,36031405.72
2009-12-01,79788294.59
2010-01-01,143464985.9
2010-02-01,226120343.31
2010-03-01,285650879.07
2010-04-01,333283776.46
2010-05-01,399657607.3
2010-06-01,467588218.06
2010-07-01,511759304.05
2010-08-01,548872262.78
2010-09-01,609848967.94
2010-10-01,644223054.36
2010-11-01,669337063.95
2010-12-01,695966789.78
2011-01-01,728025914.78
2011-02-01,751504012.55
2011-03-01,786691912.22
2011-04-01,815629647.7
2011-05-01,846689574.62
2011-06-01,876342520.96
2011-07-01,904169281.15
2011-08-01,931635028.33
2011-09-01,948932727.44
2011-10-01,974781164.11
2011-11-01,999892909.32
2011-12-01,1014724684.89
2012-01-01,1032245045.81
2012-02-01,1052571276.01
2012-03-01,1072263089.96
2012-04-01,1098384525.5
2012-05-01,1134793027.56
2012-06-01,1194085933.83
2012-07-01,1264589514
2012-08-01,1347049336.6
2012-09-01,1424330043.6
2012-10-01,1490577748.91
2012-11-01,1559927099.4
2012-12-01,1626029144.19
2013-01-01,1702948599.15
2013-02-01,1767979042.01
2013-03-01,1827277210.75
2013-04-01,1883156134.32
2013-05-01,1945146142.82
2013-06-01,2015293435.62
2013-07-01,2071250301.26
2013-08-01,2126204866.36
2013-09-01,2182538896.56
2013-10-01,2241524650.07
2013-11-01,2300475860.14
2013-12-01,2337377398.53
2014-01-01,2381426839.24
2014-02-01,2421322285.58
2014-03-01,2460047092.89
2014-04-01,2494797776.2
2014-05-01,2522546277.15
2014-06-01,2542456149.42
2014-07-01,2569107946.49
2014-08-01,2582428215.2
2014-09-01,2598398645.28
2014-10-01,2615492236.05
2014-11-01,2625975943.99
2014-12-01,2636758568.86
2015-01-01,2649840342.29
2015-02-01,2662804178.56
2015-03-01,2670725303.86
2015-04-01,2685133460.68
2015-05-01,2688214120.7
2015-06-01,2694590685.44
2015-07-01,2697416220.7
2015-08-01,2703323288.37
2015-09-01,2705740913.16
2015-10-01,2704357751.91
2015-11-01,2708207422.64
2015-12-01,2709991957.68
2016-01-01,2713397162.36
2016-02-01,2713115182.44
2016-03-01,2717169689.85
2016-04-01,2715377563.33
2016-05-01,2712317064.27
2016-06-01,2708790981.5
2016-07-01,2708914017.46
2016-08-01,2701664221.82
2016-09-01,2696576908.09
2016-10-01,2694631796.76
2016-11-01,2690303503.56
2016-12-01,2552686189.31
2017-01-01,2547979272.96
2017-02-01,2545385960.87
2017-03-01,2541936832.9
2017-04-01,2535831083.79
2017-05-01,2466999012.8
2017-06-01,2460096493.94
2017-07-01,2440078963.08
2017-08-01,2282382137.28
2017-09-01,2279118615.09
2017-10-01,2130956842.1
2017-11-01,2081311784.41
2017-12-01,2060550515.6
2018-01-01,2069059041.76
2018-02-01,2078307108.31
2018-03-01,1982637968.67
2018-04-01,1993111081.27
2018-05-01,1991028217.33
2018-06-01,1905642624.85
2018-07-01,1913620401.66
2018-08-01,1776099733.54
2018-09-01,1780561739
2018-10-01,1782368461
2018-11-01,1631400034.54
2018-12-01,1624125184.58
2019-01-01,1630398922.6
2019-02-01,1634006161.31
2019-03-01,1512360836.05
2019-04-01,1505797187.5
2019-05-01,1340308765.69
2019-06-01,1347134710.42
2019-07-01,1343657130.69
2019-08-01,1235389015.32
2019-09-01,1195167116.38
2019-10-01,1194788789.47
2019-11-01,1022631959.53
2019-12-01,1023574438.03
2020-01-01,1015935275.68
2020-02-01,1016294534.9
2020-03-01,912039903.69
2020-04-01,911200894.97
2020-05-01,910989936.84
2020-06-01,910190197.21
2020-07-01,970366970.39
2020-08-01,1078452644.51
2020-09-01,1209007244.03
2020-10-01,1431185724.7
2020-11-01,1516979316.07
2020-12-01,1631530697.88
2021-01-01,1750252666.66
2021-02-01,1857782819.47
2021-03-01,2076990576.88
2021-04-01,2301349174.15
2021-05-01,2459575493.15
2021-06-01,2613383823.83
2021-07-01,2771214720.49
2021-08-01,2894289298.73
2021-09-01,3179082471.34
2021-10-01,3408233170.06
2021-11-01,3560842067.19
2021-12-01,3633183076.01
2022-01-01,3693908920.12
2022-02-01,3751400782.2
2022-03-01,3752635792.18
2022-04-01,3715735280.34
2022-05-01,3711801223.84
2022-06-01,3731987101.89
2022-07-01,3749023061.27
2022-08-01,3765554921.41
2022-09-01,3746196717.39
2022-10-01,3745881632.99
2022-11-01,3754702489.62
2022-12-01,3762889543.18
2023-01-01,3782963242.78
2023-02-01,3802996098.1
2023-03-01,3816238048.55
2023-04-01,3830283570.74
2023-05-01,3835274727.37
2023-06-01,3840216443.93
2023-07-01,3840357471.24
2023-08-01,3826101651.62
2023-09-01,3833916404.21
2023-10-01,3832123091.55
2023-11-01,3826553363.66
2023-12-01,3836028733.58
2024-01-01,3854192533.31
2024-02-01,3871285996.51
2024-03-01,3869970751.85
2024-04-01,3881638998.31
2024-05-01,3877252115.44
2024-06-01,3876377007.89
2024-07-01,3875874904.09
2024-08-01,3876761759.47
2024-09-01,3863849328.15
2024-10-01,3856978800.54
2024-11-01,3859332346.71
2024-12-01,3863324876.87
